2026-05-21T03:47:24.9332827-04:00 | WATCHING | PID=13240
2026-05-21T03:47:26.9693592-04:00 | WATCHING | PID=13240
2026-05-21T03:47:28.9885632-04:00 | WATCHING | PID=13240
2026-05-21T03:47:31.0157921-04:00 | WATCHING | PID=13240
2026-05-21T03:47:33.0343460-04:00 | WATCHING | PID=13240
2026-05-21T03:47:35.0344118-04:00 | WATCHING | PID=13240
2026-05-21T03:47:37.0378430-04:00 | WATCHING | PID=13240
2026-05-21T03:47:39.0583448-04:00 | WATCHING | PID=13240
2026-05-21T03:47:41.0696224-04:00 | WATCHING | PID=13240
2026-05-21T03:47:43.0837907-04:00 | WATCHING | PID=13240
2026-05-21T03:47:45.0999434-04:00 | WATCHING | PID=13240
2026-05-21T03:47:47.1139711-04:00 | WATCHING | PID=13240
2026-05-21T03:47:49.1328072-04:00 | WATCHING | PID=13240
2026-05-21T03:47:51.1627925-04:00 | WATCHING | PID=13240
2026-05-21T03:47:53.1793560-04:00 | WATCHING | PID=13240
2026-05-21T03:47:55.2092350-04:00 | WATCHING | PID=13240
2026-05-21T03:47:57.2174095-04:00 | WATCHING | PID=13240
2026-05-21T03:47:59.2469747-04:00 | WATCHING | PID=13240
2026-05-21T03:48:01.2645307-04:00 | WATCHING | PID=13240
2026-05-21T03:48:03.2762565-04:00 | WATCHING | PID=13240
2026-05-21T03:48:05.2959055-04:00 | WATCHING | PID=13240
2026-05-21T03:48:07.3142459-04:00 | WATCHING | PID=13240
2026-05-21T03:48:09.3322730-04:00 | WATCHING | PID=13240
2026-05-21T03:48:11.3628630-04:00 | WATCHING | PID=13240
2026-05-21T03:48:13.3808045-04:00 | WATCHING | PID=13240
2026-05-21T03:48:15.3966157-04:00 | WATCHING | PID=13240
2026-05-21T03:48:17.3986000-04:00 | WATCHING | PID=13240
2026-05-21T03:48:19.4142557-04:00 | WATCHING | PID=13240
2026-05-21T03:48:21.4344141-04:00 | WATCHING | PID=13240
2026-05-21T03:48:23.4668725-04:00 | WATCHING | PID=13240
2026-05-21T03:48:25.5164788-04:00 | WATCHING | PID=13240
2026-05-21T03:48:27.5682305-04:00 | WATCHING | PID=13240
2026-05-21T03:48:29.6167848-04:00 | WATCHING | PID=13240
2026-05-21T03:48:31.7127898-04:00 | WATCHING | PID=13240
2026-05-21T03:48:33.7520308-04:00 | WATCHING | PID=13240
2026-05-21T03:48:35.7833639-04:00 | WATCHING | PID=13240
2026-05-21T03:48:37.8157986-04:00 | WATCHING | PID=13240
2026-05-21T03:48:39.8498118-04:00 | WATCHING | PID=13240
2026-05-21T03:48:41.8994172-04:00 | WATCHING | PID=13240
2026-05-21T03:48:43.9479133-04:00 | WATCHING | PID=13240
2026-05-21T03:48:45.9639396-04:00 | WATCHING | PID=13240
2026-05-21T03:48:47.9759321-04:00 | WATCHING | PID=13240
2026-05-21T03:48:49.9832529-04:00 | WATCHING | PID=13240
2026-05-21T03:48:52.0143715-04:00 | WATCHING | PID=13240
2026-05-21T03:48:54.0274995-04:00 | WATCHING | PID=13240
2026-05-21T03:48:56.0323956-04:00 | WATCHING | PID=13240
2026-05-21T03:48:58.0372239-04:00 | WATCHING | PID=13240
2026-05-21T03:49:00.0627948-04:00 | WATCHING | PID=13240
2026-05-21T03:49:02.0805115-04:00 | WATCHING | PID=13240
2026-05-21T03:49:04.0822837-04:00 | WATCHING | PID=13240
2026-05-21T03:49:06.0971961-04:00 | WATCHING | PID=13240
2026-05-21T03:49:08.1305100-04:00 | WATCHING | PID=13240
2026-05-21T03:49:10.1489816-04:00 | WATCHING | PID=13240
2026-05-21T03:49:12.1843539-04:00 | WATCHING | PID=13240
2026-05-21T03:49:14.2197780-04:00 | WATCHING | PID=13240
2026-05-21T03:49:16.2331863-04:00 | WATCHING | PID=13240
2026-05-21T03:49:18.2793307-04:00 | WATCHING | PID=13240
2026-05-21T03:49:20.2967226-04:00 | WATCHING | PID=13240
2026-05-21T03:49:22.3134537-04:00 | WATCHING | PID=13240
2026-05-21T03:49:24.3191866-04:00 | WATCHING | PID=13240
2026-05-21T03:49:26.3441467-04:00 | WATCHING | PID=13240
2026-05-21T03:49:28.3650451-04:00 | WATCHING | PID=13240
2026-05-21T03:49:30.3886301-04:00 | WATCHING | PID=13240
2026-05-21T03:49:32.3988382-04:00 | WATCHING | PID=13240
2026-05-21T03:49:34.4312891-04:00 | WATCHING | PID=13240
2026-05-21T03:49:36.4670825-04:00 | WATCHING | PID=13240
2026-05-21T03:49:38.5126427-04:00 | WATCHING | PID=13240
2026-05-21T03:49:40.5311571-04:00 | WATCHING | PID=13240
2026-05-21T03:49:42.5634224-04:00 | WATCHING | PID=13240
2026-05-21T03:49:44.6174454-04:00 | WATCHING | PID=13240
2026-05-21T03:49:46.6625397-04:00 | WATCHING | PID=13240
2026-05-21T03:49:48.6656184-04:00 | WATCHING | PID=13240
2026-05-21T03:49:50.6952952-04:00 | WATCHING | PID=13240
2026-05-21T03:49:52.7109751-04:00 | WATCHING | PID=13240
2026-05-21T03:49:54.7258645-04:00 | WATCHING | PID=13240
2026-05-21T03:49:56.7607763-04:00 | WATCHING | PID=13240
2026-05-21T03:49:58.7969966-04:00 | WATCHING | PID=13240
2026-05-21T03:50:00.8329960-04:00 | WATCHING | PID=13240
2026-05-21T03:50:02.8788607-04:00 | WATCHING | PID=13240
2026-05-21T03:50:04.8861308-04:00 | WATCHING | PID=13240
2026-05-21T03:50:06.9158664-04:00 | WATCHING | PID=13240
2026-05-21T03:50:08.9626311-04:00 | WATCHING | PID=13240
2026-05-21T03:50:10.9786036-04:00 | WATCHING | PID=13240
2026-05-21T03:50:12.9960465-04:00 | WATCHING | PID=13240
2026-05-21T03:50:14.9987242-04:00 | WATCHING | PID=13240
2026-05-21T03:50:17.0298205-04:00 | WATCHING | PID=13240
2026-05-21T03:50:19.0656945-04:00 | WATCHING | PID=13240
2026-05-21T03:50:21.0855009-04:00 | WATCHING | PID=13240
2026-05-21T03:50:23.0958351-04:00 | WATCHING | PID=13240
2026-05-21T03:50:25.1099645-04:00 | WATCHING | PID=13240
2026-05-21T03:50:27.1290422-04:00 | WATCHING | PID=13240
2026-05-21T03:50:29.1592177-04:00 | WATCHING | PID=13240
2026-05-21T03:50:31.1606434-04:00 | WATCHING | PID=13240
2026-05-21T03:50:33.1797447-04:00 | WATCHING | PID=13240
2026-05-21T03:50:35.2056359-04:00 | WATCHING | PID=13240
2026-05-21T03:50:37.2276462-04:00 | WATCHING | PID=13240
2026-05-21T03:50:39.2448794-04:00 | WATCHING | PID=13240
2026-05-21T03:50:41.2673211-04:00 | WATCHING | PID=13240
2026-05-21T03:50:43.2825212-04:00 | WATCHING | PID=13240
2026-05-21T03:50:45.3117773-04:00 | WATCHING | PID=13240
2026-05-21T03:50:47.3450816-04:00 | WATCHING | PID=13240
2026-05-21T03:50:49.3787874-04:00 | WATCHING | PID=13240
2026-05-21T03:50:51.4126638-04:00 | WATCHING | PID=13240
2026-05-21T03:50:53.4459538-04:00 | WATCHING | PID=13240
2026-05-21T03:50:55.4887911-04:00 | WATCHING | PID=13240
2026-05-21T03:50:57.4919936-04:00 | WATCHING | PID=13240
2026-05-21T03:50:59.5060815-04:00 | WATCHING | PID=13240
2026-05-21T03:51:01.5246466-04:00 | WATCHING | PID=13240
2026-05-21T03:51:03.5430125-04:00 | WATCHING | PID=13240
2026-05-21T03:51:05.5631226-04:00 | WATCHING | PID=13240
2026-05-21T03:51:07.5766580-04:00 | WATCHING | PID=13240
2026-05-21T03:51:09.6013385-04:00 | WATCHING | PID=13240
2026-05-21T03:51:11.6214145-04:00 | WATCHING | PID=13240
2026-05-21T03:51:13.6411253-04:00 | WATCHING | PID=13240
2026-05-21T03:51:15.6609887-04:00 | WATCHING | PID=13240
2026-05-21T03:51:17.6879347-04:00 | WATCHING | PID=13240
2026-05-21T03:51:19.7111623-04:00 | WATCHING | PID=13240
2026-05-21T03:51:21.7286059-04:00 | WATCHING | PID=13240
2026-05-21T03:51:23.7485252-04:00 | WATCHING | PID=13240
2026-05-21T03:51:25.7834333-04:00 | WATCHING | PID=13240
2026-05-21T03:51:27.8018949-04:00 | WATCHING | PID=13240
2026-05-21T03:51:29.8267239-04:00 | WATCHING | PID=13240
2026-05-21T03:51:31.8491486-04:00 | WATCHING | PID=13240
2026-05-21T03:51:33.8766275-04:00 | WATCHING | PID=13240
2026-05-21T03:51:35.9092419-04:00 | WATCHING | PID=13240
2026-05-21T03:51:37.9274144-04:00 | WATCHING | PID=13240
2026-05-21T03:51:39.9441773-04:00 | WATCHING | PID=13240
2026-05-21T03:51:41.9598460-04:00 | WATCHING | PID=13240
2026-05-21T03:51:43.9907698-04:00 | WATCHING | PID=13240
2026-05-21T03:51:46.0122834-04:00 | WATCHING | PID=13240
2026-05-21T03:51:48.0276294-04:00 | WATCHING | PID=13240
2026-05-21T03:51:50.0759958-04:00 | WATCHING | PID=13240
2026-05-21T03:51:52.0938481-04:00 | WATCHING | PID=13240
2026-05-21T03:51:54.1292995-04:00 | WATCHING | PID=13240
2026-05-21T03:51:56.1544420-04:00 | WATCHING | PID=13240
2026-05-21T03:51:58.1760633-04:00 | WATCHING | PID=13240
2026-05-21T03:52:00.2081774-04:00 | WATCHING | PID=13240
2026-05-21T03:52:02.2247539-04:00 | WATCHING | PID=13240
2026-05-21T03:52:04.2439499-04:00 | WATCHING | PID=13240
2026-05-21T03:52:06.2765662-04:00 | WATCHING | PID=13240
2026-05-21T03:52:08.2951116-04:00 | WATCHING | PID=13240
2026-05-21T03:52:10.3194805-04:00 | WATCHING | PID=13240
2026-05-21T03:52:12.3580386-04:00 | WATCHING | PID=13240
2026-05-21T03:52:14.3778848-04:00 | WATCHING | PID=13240
2026-05-21T03:52:16.3913944-04:00 | WATCHING | PID=13240
2026-05-21T03:52:18.4074786-04:00 | WATCHING | PID=13240
2026-05-21T03:52:20.4289500-04:00 | WATCHING | PID=13240
2026-05-21T03:52:22.4555940-04:00 | WATCHING | PID=13240
2026-05-21T03:52:24.4879317-04:00 | WATCHING | PID=13240
2026-05-21T03:52:26.5078691-04:00 | WATCHING | PID=13240
2026-05-21T03:52:28.5429671-04:00 | WATCHING | PID=13240
2026-05-21T03:52:30.5852694-04:00 | WATCHING | PID=13240
2026-05-21T03:52:32.6238349-04:00 | WATCHING | PID=13240
2026-05-21T03:52:34.6390318-04:00 | WATCHING | PID=13240
2026-05-21T03:52:36.6542334-04:00 | WATCHING | PID=13240
2026-05-21T03:52:38.6757329-04:00 | WATCHING | PID=13240
2026-05-21T03:52:40.7094299-04:00 | WATCHING | PID=13240
2026-05-21T03:52:42.7242702-04:00 | WATCHING | PID=13240
2026-05-21T03:52:44.7405606-04:00 | WATCHING | PID=13240
2026-05-21T03:52:46.7588742-04:00 | WATCHING | PID=13240
2026-05-21T03:52:48.7833290-04:00 | WATCHING | PID=13240
2026-05-21T03:52:50.8235769-04:00 | WATCHING | PID=13240
2026-05-21T03:52:52.8488875-04:00 | WATCHING | PID=13240
2026-05-21T03:52:54.8724139-04:00 | WATCHING | PID=13240
2026-05-21T03:52:56.8964545-04:00 | WATCHING | PID=13240
2026-05-21T03:52:56.9208272-04:00 | MOVED DROPZONE JOB TO INBOX | CHILDJOB-20260521-000004-WATCHER-PID-REPAIR-SELFTEST.childjob.json
2026-05-21T03:52:57.0517513-04:00 | LEVEL1 RUNNER ATTEMPTED
2026-05-21T03:52:59.0557507-04:00 | WATCHING | PID=13240
2026-05-21T03:53:01.0844243-04:00 | WATCHING | PID=13240
2026-05-21T03:53:03.0843749-04:00 | WATCHING | PID=13240
2026-05-21T03:53:05.1057987-04:00 | WATCHING | PID=13240
2026-05-21T03:53:07.1468918-04:00 | WATCHING | PID=13240
2026-05-21T03:53:09.1564414-04:00 | WATCHING | PID=13240
2026-05-21T03:53:11.1748221-04:00 | WATCHING | PID=13240
2026-05-21T03:53:13.2065649-04:00 | WATCHING | PID=13240
2026-05-21T03:53:15.2078844-04:00 | WATCHING | PID=13240
2026-05-21T03:53:17.2265066-04:00 | WATCHING | PID=13240
2026-05-21T03:53:19.2539148-04:00 | WATCHING | PID=13240
2026-05-21T03:53:21.2707819-04:00 | WATCHING | PID=13240
2026-05-21T03:53:23.2763793-04:00 | WATCHING | PID=13240
2026-05-21T03:53:25.3044233-04:00 | WATCHING | PID=13240
2026-05-21T03:53:27.3215228-04:00 | WATCHING | PID=13240
2026-05-21T03:53:29.3233456-04:00 | WATCHING | PID=13240
2026-05-21T03:53:31.3346744-04:00 | WATCHING | PID=13240
2026-05-21T03:53:33.3541623-04:00 | WATCHING | PID=13240
2026-05-21T03:53:35.3698946-04:00 | WATCHING | PID=13240
2026-05-21T03:53:37.3974466-04:00 | WATCHING | PID=13240
2026-05-21T03:53:39.4026533-04:00 | WATCHING | PID=13240
2026-05-21T03:53:41.4124590-04:00 | WATCHING | PID=13240
2026-05-21T03:53:43.4280665-04:00 | WATCHING | PID=13240
2026-05-21T03:53:45.4588947-04:00 | WATCHING | PID=13240
2026-05-21T03:53:47.4694343-04:00 | WATCHING | PID=13240
2026-05-21T03:53:49.4731272-04:00 | WATCHING | PID=13240
2026-05-21T03:53:51.4897558-04:00 | WATCHING | PID=13240
2026-05-21T03:53:53.5054650-04:00 | WATCHING | PID=13240
2026-05-21T03:53:55.5372586-04:00 | WATCHING | PID=13240
2026-05-21T03:53:57.5799659-04:00 | WATCHING | PID=13240
2026-05-21T03:53:59.5893808-04:00 | WATCHING | PID=13240
2026-05-21T03:54:01.6059089-04:00 | WATCHING | PID=13240
2026-05-21T03:54:03.6225907-04:00 | WATCHING | PID=13240
2026-05-21T03:54:05.6399169-04:00 | WATCHING | PID=13240
2026-05-21T03:54:07.6717913-04:00 | WATCHING | PID=13240
2026-05-21T03:54:09.7090584-04:00 | WATCHING | PID=13240
2026-05-21T03:54:11.7417877-04:00 | WATCHING | PID=13240
2026-05-21T03:54:13.7578161-04:00 | WATCHING | PID=13240
2026-05-21T03:54:15.7915144-04:00 | WATCHING | PID=13240
2026-05-21T03:54:17.8200105-04:00 | WATCHING | PID=13240
2026-05-21T03:54:19.8534186-04:00 | WATCHING | PID=13240
2026-05-21T03:54:21.8725380-04:00 | WATCHING | PID=13240
2026-05-21T03:54:23.8968263-04:00 | WATCHING | PID=13240
2026-05-21T03:54:25.9242938-04:00 | WATCHING | PID=13240
2026-05-21T03:54:27.9438777-04:00 | WATCHING | PID=13240
2026-05-21T03:54:29.9745696-04:00 | WATCHING | PID=13240
2026-05-21T03:54:32.0054438-04:00 | WATCHING | PID=13240
2026-05-21T03:54:34.0239368-04:00 | WATCHING | PID=13240
2026-05-21T03:54:36.0756444-04:00 | WATCHING | PID=13240
2026-05-21T03:54:38.1096544-04:00 | WATCHING | PID=13240
2026-05-21T03:54:40.1424733-04:00 | WATCHING | PID=13240
2026-05-21T03:54:42.1850513-04:00 | WATCHING | PID=13240
2026-05-21T03:54:44.1889510-04:00 | WATCHING | PID=13240
2026-05-21T03:54:46.2394621-04:00 | WATCHING | PID=13240
2026-05-21T03:54:48.2846788-04:00 | WATCHING | PID=13240
2026-05-21T03:54:50.3095062-04:00 | WATCHING | PID=13240
2026-05-21T03:54:52.3431211-04:00 | WATCHING | PID=13240
2026-05-21T03:54:54.3818052-04:00 | WATCHING | PID=13240
2026-05-21T03:54:56.3870631-04:00 | WATCHING | PID=13240
2026-05-21T03:54:58.4201323-04:00 | WATCHING | PID=13240
2026-05-21T03:55:00.4377488-04:00 | WATCHING | PID=13240
2026-05-21T03:55:02.4574216-04:00 | WATCHING | PID=13240
2026-05-21T03:55:04.4887140-04:00 | WATCHING | PID=13240
2026-05-21T03:55:06.5037374-04:00 | WATCHING | PID=13240
2026-05-21T03:55:08.5076844-04:00 | WATCHING | PID=13240
2026-05-21T03:55:10.5379748-04:00 | WATCHING | PID=13240
2026-05-21T03:55:12.5837430-04:00 | WATCHING | PID=13240
2026-05-21T03:55:14.6036843-04:00 | WATCHING | PID=13240
2026-05-21T03:55:16.6200905-04:00 | WATCHING | PID=13240
2026-05-21T03:55:18.6530276-04:00 | WATCHING | PID=13240
2026-05-21T03:55:20.6717529-04:00 | WATCHING | PID=13240
2026-05-21T03:55:22.6877334-04:00 | WATCHING | PID=13240
2026-05-21T03:55:24.7263386-04:00 | WATCHING | PID=13240
2026-05-21T03:55:26.7690633-04:00 | WATCHING | PID=13240
2026-05-21T03:55:28.7712787-04:00 | WATCHING | PID=13240
2026-05-21T03:55:30.7884242-04:00 | WATCHING | PID=13240
2026-05-21T03:55:32.8046211-04:00 | WATCHING | PID=13240
2026-05-21T03:55:34.8203924-04:00 | WATCHING | PID=13240
2026-05-21T03:55:36.8371256-04:00 | WATCHING | PID=13240
2026-05-21T03:55:38.8379624-04:00 | WATCHING | PID=13240
2026-05-21T03:55:40.8692084-04:00 | WATCHING | PID=13240
2026-05-21T03:55:42.9010310-04:00 | WATCHING | PID=13240
2026-05-21T03:55:44.9360136-04:00 | WATCHING | PID=13240
2026-05-21T03:55:46.9746991-04:00 | WATCHING | PID=13240
2026-05-21T03:55:49.0000127-04:00 | WATCHING | PID=13240
2026-05-21T03:55:51.0221648-04:00 | WATCHING | PID=13240
2026-05-21T03:55:53.0519925-04:00 | WATCHING | PID=13240
2026-05-21T03:55:55.0684861-04:00 | WATCHING | PID=13240
2026-05-21T03:55:57.0789499-04:00 | WATCHING | PID=13240
2026-05-21T03:55:59.1150967-04:00 | WATCHING | PID=13240
2026-05-21T03:56:01.1344696-04:00 | WATCHING | PID=13240
2026-05-21T03:56:03.1509399-04:00 | WATCHING | PID=13240
2026-05-21T03:56:05.1625479-04:00 | WATCHING | PID=13240
2026-05-21T03:56:07.2110118-04:00 | WATCHING | PID=13240
2026-05-21T03:56:09.2408217-04:00 | WATCHING | PID=13240
2026-05-21T03:56:11.2733199-04:00 | WATCHING | PID=13240
2026-05-21T03:56:13.3030642-04:00 | WATCHING | PID=13240
2026-05-21T03:56:15.3354205-04:00 | WATCHING | PID=13240
2026-05-21T03:56:17.3683067-04:00 | WATCHING | PID=13240
2026-05-21T03:56:19.3847390-04:00 | WATCHING | PID=13240
2026-05-21T03:56:21.3883196-04:00 | WATCHING | PID=13240
2026-05-21T03:56:23.4347304-04:00 | WATCHING | PID=13240
2026-05-21T03:56:25.4503407-04:00 | WATCHING | PID=13240
2026-05-21T03:56:27.4688613-04:00 | WATCHING | PID=13240
2026-05-21T03:56:29.5027978-04:00 | WATCHING | PID=13240
2026-05-21T03:56:31.5198058-04:00 | WATCHING | PID=13240
2026-05-21T03:56:33.5519556-04:00 | WATCHING | PID=13240
2026-05-21T03:56:35.5847186-04:00 | WATCHING | PID=13240
2026-05-21T03:56:37.5867786-04:00 | WATCHING | PID=13240
2026-05-21T03:56:39.6044556-04:00 | WATCHING | PID=13240
2026-05-21T03:56:41.6336865-04:00 | WATCHING | PID=13240
2026-05-21T03:56:43.6493595-04:00 | WATCHING | PID=13240
2026-05-21T03:56:45.6644034-04:00 | WATCHING | PID=13240
2026-05-21T03:56:47.7187652-04:00 | WATCHING | PID=13240
2026-05-21T03:56:49.7375646-04:00 | WATCHING | PID=13240
2026-05-21T03:56:51.7524866-04:00 | WATCHING | PID=13240
2026-05-21T03:56:53.7693750-04:00 | WATCHING | PID=13240
2026-05-21T03:56:55.7859328-04:00 | WATCHING | PID=13240
