"Pattern","Hits","Files","Example1","Example2","Example3"
"fake PASS","113","74","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\BROAD_COMMAND_RECURSIVE_TRIGGER_LIST_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\FINAL_JUDGE_GATE_ALPHA_OMEGA_ROLE_RULE_20260522.md"
"PASS without","204","97","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CleanMilkChecker\STAGE_2_CLOSEOUT.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CleanMilkChecker\SEED_BUILD_CARD.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\outputs\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_VERDICT.txt"
"named only","5","4","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_WORKER_SYMPTOM_DIAGNOSTIC_NEXT_USE_20260524_014844.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\WORKER_SYMPTOM_DIAGNOSTIC_CARD_TEMPLATE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\ASSISTANT_PROCESS_AUDIT_CARD_TEMPLATE_20260524.md"
"not applied","60","51","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\GPT_Prompts\CURRENT\SUPPORT_MIRRORS\STOP_FIX_SUPPORT\CHAT_DROP_COPY__STOP_ISSUE_NOTE_OPTION_WEIGHT_GATE_V1.1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt"
"same problem","68","26","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_ROUTER_FIRST_LIVE_FIX_LEDGER_NEXT_USE_20260523_223212.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\STOP_ISSUE_NOTE_OPTION_WEIGHT_GATE_20260522.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\SMOKE_BREAK_FOCUS_RESET_POWER_PLAY_RULE_20260522.md"
"same-issue","16","8","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\WORKER_SYMPTOM_DIAGNOSTIC_GATE_RULE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_PUZZLE_ASSISTANT_ISSUES_NEXT_USE_20260524_032211.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\WORKER_SYMPTOM_DIAGNOSTIC_CARD_TEMPLATE_20260524.md"
"rerun","488","204","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\README_START_HERE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt"
"proof gate","241","137","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN\SUIT\UNIVERSAL_STATE_MACHINE_SOFT_TEST.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\README_START_HERE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt"
"proof before PASS","15","14","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\SOFT_SUIT_PATCH_THROUGH_RULE_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\SLOW_THINK_PERFORMANCE_HUMILITY_GATE_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\CREATIVE_GATE_FRIENDSHIP_NEIGHBOR_ORDER_RULE_20260523.md"
"Final Judge","703","136","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\WORKER_SYMPTOM_DIAGNOSTIC_CARD_TEMPLATE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\GATE_FAMILY_CHECKPOINT_CARD_TEMPLATE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\SAVE_SCRIPTS\SAVE_FINAL_JUDGE_GATE_ALPHA_OMEGA_RULE_20260522.ps1"
