FileName,Extension,SizeBytes,SHA256
DISPOSAL_RULE_ROW_001.md,.md,1213,18D990E945A1485C254761D9DA1833C4E153B271166F178D93843A42951B8631
EXPECTED_JUDGMENTS_ROW_001.csv,.csv,1314,7B060545213C049C7896FE859CDCE5D9E61584D18AFDB1D415580DB8C3016A9B
MANUAL_REVIEW_CHECKLIST_ROW_001.md,.md,1790,2584C9DB3520CDC003A49840BC1B28979869786618FC4084D68C4F295F18FF06
README_ROW_001_DISPOSABLE_FIXTURE.md,.md,1448,6905F6757A3944BF4A085B4AE978D9C9F0925CB7964BDCD362CA6B47513087D0
ROW_001_FIXTURE_BUILD_RECEIPT.md,.md,776,08CEDFBF3317AA6CA67AFF096C6F2ED09A62BCB6E92EB0AF05CDDAE818924FB5
SCENARIO_001_GENERATED_RUNNER_REPAIR_LOOP.md,.md,943,EF13A07498733065EAC6AC3C667792B8BB0978FF5603DEDCA49FE8C6B4E72D96
SCENARIO_002_CODE_SHAPED_TEXT_IN_WRAPPER.md,.md,967,904FACB1D84F2F1E7F7D0C4762BCFE8D196864D8D4330DE33FB9B4C1ED5E0024
SCENARIO_003_AUTOMATIC_VARIABLE_COLLISION.md,.md,916,59005CCA3503D9032AAE4DC49334500F13448852171C3E9A812B41A07111D093
SCENARIO_004_HERE_STRING_EXPANSION_RISK.md,.md,1000,CC0D488284630CB00218CCF76FA1D5476D29FA805CC160755D35A34D991EB620
SCENARIO_005_PATH_CONSTRUCTION_AND_WRONG_LANE_WRITE.md,.md,970,0E5EE02EC79EFDC807070AF93A1DAF2F2EEFF98CF9F7B93EFF10833E648F08F4
SCENARIO_006_FALSE_TARGET_RUN_CLAIM.md,.md,801,F125DFA2A9828E5BD046F3D1A34AEA4EE81BBF8A9A544B90CCCE767C93539508
SCENARIO_007_NO_OP_SKIP_IS_NOT_REPAIR.md,.md,787,504C3713371C98C38FBF575814A062467269270C4BB741B9E3F0F19DC2D81748
