"RelativePath","FullName","TopLevel","Extension","Length","LastWriteTimeUtc","Class"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0003__Hmm.7z\Hmm.7z","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0003__Hmm.7z\Hmm.7z","_LOCAL_CUSTODY_N_RECEIPTS",".7z","158837729","2026-05-24T23:31:34.2960657Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0004__Hmm\Hmm\Teleporter137_.7z","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0004__Hmm\Hmm\Teleporter137_.7z","_LOCAL_CUSTODY_N_RECEIPTS",".7z","158827540","2026-05-24T23:16:49.5309540Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0005__LENSHELL\LENSHELL\Teleporter137_ - 1.7z","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0005__LENSHELL\LENSHELL\Teleporter137_ - 1.7z","_LOCAL_CUSTODY_N_RECEIPTS",".7z","158819828","2026-05-24T23:30:10.9701908Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\REMOTE_DOOR_RELAY_V2\TOOLS\cloudflared.exe","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\REMOTE_DOOR_RELAY_V2\TOOLS\cloudflared.exe","_LOCAL_CUSTODY_N_RECEIPTS",".exe","53886304","2026-05-21T17:52:44.2370457Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\REMOTE_DOOR_RELAY_V2\TOOLS\cloudflared.exe","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\REMOTE_DOOR_RELAY_V2\TOOLS\cloudflared.exe","_LOCAL_CUSTODY_N_RECEIPTS",".exe","53886304","2026-05-21T17:52:44.2370457Z","RECEIPT"
"Jxhnny_Kl33N_Seedz\COMMAND_CENTER\REMOTE_DOOR_RELAY_V2\TOOLS\cloudflared.exe","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\REMOTE_DOOR_RELAY_V2\TOOLS\cloudflared.exe","Jxhnny_Kl33N_Seedz",".exe","53886304","2026-05-21T17:52:44.2370457Z","GENERAL"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","_LOCAL_CUSTODY_N_RECEIPTS",".pack","46861455","2026-05-23T17:26:55.7879051Z","RECEIPT"
"Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","Jxhnny_Kl33N_Seedz",".pack","46861455","2026-05-29T06:41:44.8796877Z","GENERAL"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","_LOCAL_CUSTODY_N_RECEIPTS",".pack","46861455","2026-05-23T17:26:55.7879051Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0006__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0006__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-b2208e1450079d348ae5a2fb8d30c8e1dbc1851c.pack","_LOCAL_CUSTODY_N_RECEIPTS",".pack","46861455","2026-05-23T17:26:55.7879051Z","RECEIPT"
"_MISC_DRAWER\TEMP_UPLOAD_HOLD\.tmp.driveupload_20260525\3763","C:\Users\13527\Desktop\123\_MISC_DRAWER\TEMP_UPLOAD_HOLD\.tmp.driveupload_20260525\3763","_MISC_DRAWER","","46861455","2026-05-29T06:41:44.8796877Z","SOURCE"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0006__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0006__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","_LOCAL_CUSTODY_N_RECEIPTS",".pack","44776685","2026-05-24T12:48:02.0728547Z","RECEIPT"
"Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","Jxhnny_Kl33N_Seedz",".pack","44776685","2026-05-24T12:48:02.0728547Z","GENERAL"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","_LOCAL_CUSTODY_N_RECEIPTS",".pack","44776685","2026-05-24T12:48:02.0728547Z","RECEIPT"
"_MISC_DRAWER\TEMP_UPLOAD_HOLD\.tmp.driveupload_20260525\3751","C:\Users\13527\Desktop\123\_MISC_DRAWER\TEMP_UPLOAD_HOLD\.tmp.driveupload_20260525\3751","_MISC_DRAWER","","44776685","2026-05-24T12:48:02.0728547Z","SOURCE"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\.git\objects\pack\pack-ac1e05ebd4025028df6ff7b18a3198b2b8415c1a.pack","_LOCAL_CUSTODY_N_RECEIPTS",".pack","44776685","2026-05-24T12:48:02.0728547Z","RECEIPT"
"_MISC_DRAWER\READ_REPORTS\FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3_FINDINGS_20260530_105416.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3_FINDINGS_20260530_105416.csv","_MISC_DRAWER",".csv","27948657","2026-05-30T14:54:41.1424254Z","SOURCE"
"_MISC_DRAWER\READ_REPORTS\FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3_FINDINGS_20260530_105329.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3_FINDINGS_20260530_105329.csv","_MISC_DRAWER",".csv","27948657","2026-05-30T14:53:53.9021987Z","SOURCE"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\HOUSE_GATE_WASH_RUN_20260524\NO_CONSOLIDATOR_WAVE_CONTRIBUTIONS_5X.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\HOUSE_GATE_WASH_RUN_20260524\NO_CONSOLIDATOR_WAVE_CONTRIBUTIONS_5X.csv","Jxhnny_Kl33N_Seedz",".csv","25387608","2026-05-25T03:41:59.8207373Z","GENERAL"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\PAST_WEEK_20260524_20260531\RUN_20260531_141441\PAST_WEEK_IDEA_CONCEPT_CAPTURE_V1_20260531_CONCEPT_SIGNAL_LEDGER.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\PAST_WEEK_20260524_20260531\RUN_20260531_141441\PAST_WEEK_IDEA_CONCEPT_CAPTURE_V1_20260531_CONCEPT_SIGNAL_LEDGER.csv","Jxhnny_Kl33N_Seedz",".csv","22893437","2026-05-31T18:16:30.1419088Z","GENERAL"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0010__yt-dlp.exe\yt-dlp.exe","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0010__yt-dlp.exe\yt-dlp.exe","_LOCAL_CUSTODY_N_RECEIPTS",".exe","18448981","2026-05-25T19:53:29.3862293Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0009__HUSKIRL_137_URLS_CLEAN\HUSKIRL_137_URLS_CLEAN\yt-dlp.exe","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0009__HUSKIRL_137_URLS_CLEAN\HUSKIRL_137_URLS_CLEAN\yt-dlp.exe","_LOCAL_CUSTODY_N_RECEIPTS",".exe","18448981","2026-05-25T20:12:27.3871101Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0008__YouTube Transcript Tool\YouTube Transcript Tool\yt-dlp.exe","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0008__YouTube Transcript Tool\YouTube Transcript Tool\yt-dlp.exe","_LOCAL_CUSTODY_N_RECEIPTS",".exe","18448981","2026-05-25T08:36:38.7012131Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0007__Transcripts1\Transcripts1\_TOOLS\yt-dlp.exe","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0007__Transcripts1\Transcripts1\_TOOLS\yt-dlp.exe","_LOCAL_CUSTODY_N_RECEIPTS",".exe","18448981","2026-05-25T20:35:23.2215744Z","RECEIPT"
"_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_SIGNAL_LEDGER_V2_20260528_010508.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_SIGNAL_LEDGER_V2_20260528_010508.csv","_MISC_DRAWER",".csv","14329680","2026-05-28T05:06:01.2620286Z","SOURCE"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\PAST_WEEK_20260524_20260531\RUN_20260531_141441\PAST_WEEK_IDEA_CONCEPT_SYNTHESIS_V1_20260531_UNIQUE_CONCEPTS_LEDGER.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\PAST_WEEK_20260524_20260531\RUN_20260531_141441\PAST_WEEK_IDEA_CONCEPT_SYNTHESIS_V1_20260531_UNIQUE_CONCEPTS_LEDGER.csv","Jxhnny_Kl33N_Seedz",".csv","13450303","2026-05-31T18:29:57.1977279Z","GENERAL"
"Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521.zip","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521.zip","Jxhnny_Kl33N_Seedz",".zip","12946129","2026-05-21T05:29:12.6318611Z","PACKET_OR_ORDER"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521.zip","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521.zip","_LOCAL_CUSTODY_N_RECEIPTS",".zip","12946129","2026-05-21T05:29:12.6318611Z","RECEIPT"
