"Category","RelativePath","HitLines"
"REVIEW_REQUIRED",".\_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_SIGNAL_LEDGER_V2_20260528_010508.csv","56"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\REPORTS\RECYCLE_BIN_RECOVERY_FILE_HASH_LEDGER.csv","22"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0015__raw progress.txt\raw progress.txt","16"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","16"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\HOUSE_DOCK_CONTROL_ROOM_SAVE_PACKET_V1\98_SOURCE_RAW\FINAL_RAW_PROGRESS.txt","13"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PORCH_WATCHER\PLANS\PORCH_MOVE_DROPPER_PLAN_20260522_162208.csv","12"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\PORCH_WATCHER\PLANS\PORCH_MOVE_DROPPER_PLAN_20260522_162252.csv","12"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\PORCH_WATCHER\PLANS\PORCH_MOVE_DROPPER_PLAN_20260522_162208.csv","12"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PORCH_WATCHER\PLANS\PORCH_MOVE_DROPPER_PLAN_20260522_162137.txt","12"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PORCH_WATCHER\RECEIPTS\PORCH_MOVE_DROPPER_RECEIPT_20260522_162252.txt","12"
