"Category","RelativePath","Line","Text"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\RUN_FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3.ps1","527","        $overall = 'REVIEW_REQUIRED'"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\RUN_FULL_HOUSE_GATE_WASH_CYCLE_V1.ps1","372","    $overallVerdict = ""REVIEW_REQUIRED"""
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\RUN_FULL_HOUSE_GATE_WASH_CYCLE_V1.ps1","483","} elseif ($overallVerdict -eq ""REVIEW_REQUIRED"") {"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\RUN_FULL_HOUSE_GATE_WASH_CYCLE_V1.1.ps1","377","    $overallVerdict = ""REVIEW_REQUIRED"""
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\RUN_FULL_HOUSE_GATE_WASH_CYCLE_V1.1.ps1","488","} elseif ($overallVerdict -eq ""REVIEW_REQUIRED"") {"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\LOCK_SAVE_KEYRING_LEVEL0_USE_NEXT_MECHANISM_SELECTION_V1.ps1","277","NEEDS_REVIEW"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\LOCK_SAVE_FULL_HOUSE_WASH_V3_PROGRESS_AND_LEDGER_BRIDGE_PLAN_V1.ps1","283","    '- Overall verdict: REVIEW_REQUIRED.',"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\LOCK_SAVE_FULL_HOUSE_WASH_V3_PROGRESS_AND_LEDGER_BRIDGE_PLAN_V1.ps1","423","    '- Verdict: REVIEW_REQUIRED.',"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\LOCK_SAVE_FRESHNESS_LABELS_USE_NEXT_ROUTE_SELECTION_V1.ps1","134","NEEDS_REVIEW"
"REVIEW_REQUIRED",".\_TOOLS_AND_SCRIPTS\SAVE_SCRIPTS\ROOT_CLEANOUT_SCRIPTS_20260530_200709\LOCK_SAVE_FRESHNESS_DECAY_LABELS_TINY_PROOF_V1.ps1","184","| NEEDS_REVIEW | cannot be reused without inspection | uncertain or incomplete state | bad reuse |"
