"Name","FullPath","Files","Bytes","NewestFileTime","Role"
"_CHAT_DROPS","C:\Users\13527\Desktop\123\_CHAT_DROPS","33","1272809","5/31/2026 7:53:24 PM","EXTERNAL_SOURCE_CUSTODY_RETAINED"
"_LOCAL_CUSTODY_AND_RECEIPTS","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS","692","13085492","6/7/2026 8:25:06 PM","EXTERNAL_CUSTODY_RETAINED"
"_LOCAL_CUSTODY_N_RECEIPTS","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS","9836","1204605291","6/6/2026 1:41:34 AM","EXTERNAL_CUSTODY_RETAINED"
"_MEDIA_ASSETS","C:\Users\13527\Desktop\123\_MEDIA_ASSETS","3","1083313","5/30/2026 1:12:35 PM","EXTERNAL_SOURCE_CUSTODY_RETAINED"
"_MISC_DRAWER","C:\Users\13527\Desktop\123\_MISC_DRAWER","2120","224166105","6/4/2026 4:38:59 PM","EXTERNAL_SOURCE_CUSTODY_RETAINED"
"_SOURCE_RESEARCH_NOTES","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES","127","6677875","6/7/2026 4:33:47 PM","EXTERNAL_SOURCE_CUSTODY_RETAINED"
"_TOOLS_AND_SCRIPTS","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS","903","37301489","6/6/2026 10:19:40 PM","EXTERNAL_HELPER_LIBRARY_RETAINED"
"_TRANSCRIPT_CUSTODY","C:\Users\13527\Desktop\123\_TRANSCRIPT_CUSTODY","640","9588106","5/25/2026 7:53:29 PM","EXTERNAL_CUSTODY_RETAINED"
"123_LOCAL_CUSTODY_N_RECEIPTS","C:\Users\13527\Desktop\123\123_LOCAL_CUSTODY_N_RECEIPTS","1","6147","6/4/2026 7:41:48 PM","EXTERNAL_CUSTODY_RETAINED"
"123_SCAN_REPORTS","C:\Users\13527\Desktop\123\123_SCAN_REPORTS","95","92189699","6/4/2026 7:20:04 PM","EXTERNAL_CUSTODY_RETAINED"
"Jxhnny_Kl33N_Seedz","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz","10530","429886768","6/9/2026 11:23:36 PM","LIVE_GIT_REPO"
