"Action","SourcePath","TargetPath","Reason","SHA256","Bytes"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\ADOPTION_SCOPE_LOCK__HELPER_EXPOSURE_33RD_PROTOCOL_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\ADOPTION_SCOPE_LOCK__HELPER_EXPOSURE_33RD_PROTOCOL_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","10FACE5C15C10528B870FF81D8120A392A06CB2CC23A0A8315B20301431E25F9","3226"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_ACCEPTANCE_DECISION__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_ACCEPTANCE_DECISION__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","65795E12860365F447AEC28C4CB8735F699B9DF9B177CA5C4F1D6A79297F0681","8393"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_ACCEPTANCE_RECEIPT__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_ACCEPTANCE_RECEIPT__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","0A6E4B385661171368073E805406D270BD9C4CF8A3BAF56876BA9BD37ABABF54","4265"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_GATE_REVIEW_COPY_BLOCK__COMMAND_CENTER_UI_LANE_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_GATE_REVIEW_COPY_BLOCK__COMMAND_CENTER_UI_LANE_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","B534260AE60EF888FB369F4DA64D80E985F30D64E2F5C8297D930D7CC7176674","8966"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_GATE_REVIEW_SNAPSHOT__COMMAND_CENTER_UI_LANE_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HUMAN_GATE_REVIEW_SNAPSHOT__COMMAND_CENTER_UI_LANE_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","8A442B91884CEFF62A56F2A837E33834B58EF3FF04B4AA2332AA5490C3A61C57","27690"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\LIVE_INSTALL_PREFLIGHT__DUAL_COMMAND_CENTER_L0_AND_PROTOCOL_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\LIVE_INSTALL_PREFLIGHT__DUAL_COMMAND_CENTER_L0_AND_PROTOCOL_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","944004B125B5DF219524502BEBE4073668F55676BF7E3A5927DC518347900ADF","4550"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\MULE_RECEIPT__BLOCKER_CLOSEOUT_COMMAND_CENTER_UI_LANE_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\MULE_RECEIPT__BLOCKER_CLOSEOUT_COMMAND_CENTER_UI_LANE_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","3341F39B9B37EB628D7ED5252D93EA4FF9856296521CB81ABF19DCFC18CEBC68","5177"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\PACKET_FAMILY_HASH_LEDGER__COMMAND_CENTER_UI_LANE_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\PACKET_FAMILY_HASH_LEDGER__COMMAND_CENTER_UI_LANE_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","466562162B28A5CED275EA92127534EDE5B55B4E8B6D899182FB2580E6A62C5B","21456"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\PACKET_FAMILY_INDEX__COMMAND_CENTER_UI_LANE_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\PACKET_FAMILY_INDEX__COMMAND_CENTER_UI_LANE_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","DBE6E2ED56F23192FEFA5F2F3FF732FD37203D8AC18E84C72D3042D25F08142F","10043"
"REMOVED_ROOT_DUPLICATE_AFTER_HASH_MATCH","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\ROOT_INTAKE_RECEIPT__ROOT_SOURCE_DROPS_PLACED_20260606.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\ROOT_INTAKE_RECEIPT__ROOT_SOURCE_DROPS_PLACED_20260606.md","Same relative path and SHA256 already present in repo for ROOT_HOUSE_WORK.","A8BC4B913BCA2B64FF041F7999CD23786A7A65A6FB9081D4487F98DF55976790","3049"
