"Scope","Family","Count","Tier0","Tier2","Tier3","Tier4","Tier5"
"LOCAL_PARKED_ROOT_HELPER","COMMAND_GRAMMAR","14","0","6","1","7","0"
"LOCAL_PARKED_ROOT_HELPER","GUARD_REVIEW","5","0","2","0","0","3"
"LOCAL_PARKED_ROOT_HELPER","HOUSE_DOCK","8","0","1","0","4","3"
"LOCAL_PARKED_ROOT_HELPER","OTHER_ROUTING_AND_DECISION","4","0","2","0","2","0"
"LOCAL_PARKED_ROOT_HELPER","READ_ONLY_INSPECT","3","0","3","0","0","0"
"TRACKED_REPO_HELPER_SURFACE","CHILD_SHELL_HELPERS","2","0","2","0","0","0"
"TRACKED_REPO_HELPER_SURFACE","CHILD_SHELL_RUNNERS","5","0","0","0","0","5"
"TRACKED_REPO_HELPER_SURFACE","CHILD_SHELL_WATCHER","4","0","2","0","0","2"
"TRACKED_REPO_HELPER_SURFACE","COMMAND_CENTER_INCOMING","76","5","25","4","27","15"
"TRACKED_REPO_HELPER_SURFACE","COMMAND_CENTER_OTHER","2","0","1","0","1","0"
"TRACKED_REPO_HELPER_SURFACE","COMMAND_CENTER_SAVE_SCRIPTS","17","0","1","1","7","8"
"TRACKED_REPO_HELPER_SURFACE","GPT_PROMPTS_CUSTODY","25","0","5","1","6","13"
"TRACKED_REPO_HELPER_SURFACE","HOUSE_GATE_RINGS","6","0","4","1","1","0"
"TRACKED_REPO_HELPER_SURFACE","HOUSE_WORK_TOOLS","5","1","3","0","0","1"
"TRACKED_REPO_HELPER_SURFACE","INSTALLERS","1","0","1","0","0","0"
"TRACKED_REPO_HELPER_SURFACE","MAIL_ROOM_TOOLS","8","2","3","0","0","3"
"TRACKED_REPO_HELPER_SURFACE","MULE_WORKSHOP_TOOLS","2","0","0","0","0","2"
"TRACKED_REPO_HELPER_SURFACE","OTHER_TRACKED_PS1","2","0","1","0","1","0"
"TRACKED_REPO_HELPER_SURFACE","PORCH_DROPPED_HELPERS","6","0","1","0","5","0"
"TRACKED_REPO_HELPER_SURFACE","PORCH_SORTING_TABLE_SCRIPTS","11","0","1","1","6","3"
"TRACKED_REPO_HELPER_SURFACE","PORCH_WATCHER_TOOLS","9","0","1","0","6","2"
"TRACKED_REPO_HELPER_SURFACE","REMOTE_DOOR_RELAY","9","2","2","0","0","5"
"TRACKED_REPO_HELPER_SURFACE","WORK_SHED_SCRATCH_HELPERS","9","1","7","0","0","1"
