Class,Line,Hit,Evidence
MUTATION_COMMAND,105,git,& git @GitArgs 2>$null
MUTATION_COMMAND,120,git,& git status --short 2>$null
PASS_SURFACE_WORD,197,SHA256,SHA256
PASS_SURFACE_WORD,208,LOCK,LOCK
PASS_SURFACE_WORD,212,LOCK,LOCK
PASS_SURFACE_WORD,248,LOCK,LOCK
PASS_SURFACE_WORD,252,LOCK,LOCK
PASS_SURFACE_WORD,265,SAVED,SAVED
PASS_SURFACE_WORD,267,LOCK,LOCK
PASS_SURFACE_WORD,272,LOCK,LOCK
PASS_SURFACE_WORD,290,LOCK,LOCK
PASS_SURFACE_WORD,291,LOCK,LOCK
PASS_SURFACE_WORD,296,FAIL,FAIL
PASS_SURFACE_WORD,302,COMPLETE,COMPLETE
PASS_SURFACE_WORD,321,Receipt,Receipt
PASS_SURFACE_WORD,356,FAIL,FAIL
PASS_SURFACE_WORD,358,LOCK,LOCK
PASS_SURFACE_WORD,360,PASS,PASS
PASS_SURFACE_WORD,362,PASS,PASS
PASS_SURFACE_WORD,372,SHA256,SHA256
PASS_SURFACE_WORD,392,Receipt,Receipt
PASS_SURFACE_WORD,398,LOCK,LOCK
PASS_SURFACE_WORD,399,LOCK,LOCK
PASS_SURFACE_WORD,406,FAIL,FAIL
PASS_SURFACE_WORD,408,FAIL,FAIL
PROTECTED_OR_STATE_SURFACE,20,cleanup,cleanup
PROTECTED_OR_STATE_SURFACE,21,ACTIVE_GUIDES,ACTIVE_GUIDES
PROTECTED_OR_STATE_SURFACE,22,CURRENT_TRUTH_INDEX,CURRENT_TRUTH_INDEX
PROTECTED_OR_STATE_SURFACE,156,origin/main,origin/main
