Term,Line,Class,Risk,Evidence
FAIL,41,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,$Failures = New-Object System.Collections.Generic.List[string]
LOCK,50,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"[string]$BlockerStatus,"
LOCK,64,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,BlockerStatus = $BlockerStatus
FAIL,123,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"if ($ExitCode -ne 0) { return ""[git status failed]"" }"
SHA256,140,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$PointerSha256 = ""[not_read]"""
FAIL,147,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"$Failures.Add(""BaseRoot not found: $BaseRoot"") | Out-Null"
FAIL,151,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"$Failures.Add(""RepoRoot not found: $RepoRoot"") | Out-Null"
FAIL,154,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,if ($Failures.Count -eq 0) {
LOCK,164,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-BlockerStatus ""WATCH"" `"
LOCK,171,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-SecondReviewRequired ""NO unless the caller required exact head lock."" `"
LOCK,186,REPORT_OUTPUT_STRING,REPORT_ONLY,"""BlockedPowers"","
DoesNotProve,188,REPORT_OUTPUT_STRING,REPORT_ONLY,"""DoesNotProve"","
StopLine,189,REPORT_OUTPUT_STRING,REPORT_ONLY,"""StopLine"","
FAIL,193,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,if ($Failures.Count -eq 0 -and (Test-Path $PointerPath -PathType Leaf)) {
SHA256,197,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,$PointerSha256 = (Get-FileHash $PointerPath -Algorithm SHA256).Hash
LOCK,208,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$CardType = ""POINTER_READ_BLOCKED_CARD"""
LOCK,212,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-BlockerStatus ""BLOCKING"" `"
LOCK,217,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-WhatItAffects ""It blocks active task inspection from pointer state."" `"
FAIL,222,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,} elseif ($Failures.Count -eq 0) {
LOCK,227,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-BlockerStatus ""WATCH"" `"
LOCK,248,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$CardType = ""POINTER_READ_BLOCKED_CARD"""
LOCK,252,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-BlockerStatus ""BLOCKING"" `"
LOCK,257,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-WhatItAffects ""It blocks trustworthy active task inspection."" `"
SAVED,265,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"""SAVED_AND_CLOSED"" { $CardType = ""INSPECT_ACTIVE_TASK_CARD"" }"
LOCK,267,REPORT_OUTPUT_STRING,REPORT_ONLY,"""BLOCKED_LOWER_ISSUE"" { $CardType = ""INSPECT_ACTIVE_TASK_CARD"" }"
LOCK,272,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$CardType = ""POINTER_READ_BLOCKED_CARD"""
LOCK,276,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-BlockerStatus ""UNKNOWN"" `"
LOCK,281,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"-WhatItAffects ""It blocks authoritative active task inspection."" `"
LOCK,290,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$BlockingWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""BLOCKING"" })"
LOCK,291,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$NonBlockingWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""NON_BLOCKING"" })"
LOCK,292,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$WatchWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""WATCH"" })"
LOCK,293,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$UnknownWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""UNKNOWN"" })"
FAIL,295,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,$NextLegalAction = if ($Failures.Count -gt 0) {
FAIL,296,REPORT_OUTPUT_STRING,REPORT_ONLY,"""STOP_AND_REPAIR_BASE_FAILURES"""
LOCK,297,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,} elseif ($UnknownWarnings.Count -gt 0 -or $BlockingWarnings.Count -gt 0) {
COMPLETE,302,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"""INSPECTION_COMPLETE_NO_ACTION_TAKEN"""
COMPLETE,312,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$LastCompletedStep = Get-PropertyValue -Object $PointerObject -Name ""LastCompletedStep"""
LOCK,318,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$BlockedPowers = Get-ArrayText (Get-PropertyValue -Object $PointerObject -Name ""BlockedPowers"")"
Receipt,321,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$SaveReceipts = Get-ArrayText (Get-PropertyValue -Object $PointerObject -Name ""SaveReceipts"")"
Receipts,321,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$SaveReceipts = Get-ArrayText (Get-PropertyValue -Object $PointerObject -Name ""SaveReceipts"")"
DoesNotProve,322,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$DoesNotProve = Get-PropertyValue -Object $PointerObject -Name ""DoesNotProve"""
StopLine,323,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$StopLine = Get-PropertyValue -Object $PointerObject -Name ""StopLine"""
DoesNotProve,325,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,if ([string]::IsNullOrWhiteSpace([string]$DoesNotProve)) {
DoesNotProve,326,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$DoesNotProve = ""This inspect card does not prove action completion and does not authorize execution."""
StopLine,328,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,if ([string]::IsNullOrWhiteSpace([string]$StopLine)) {
StopLine,329,VARIABLE_ASSIGNMENT_OR_CALCULATION,VARIABLE_OR_REPORT_CONTROL,"$StopLine = ""No execution, writing, Git mutation, pointer update, or repair from inspect."""
LOCK,342,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"$WarningExplanationLines.Add(""BlockerStatus: $($Warning.BlockerStatus)"") | Out-Null"
FAIL,355,VERDICT_ASSIGNMENT_HEAD,REPORT_CONTROL,$FinalVerdict = if ($Failures.Count -gt 0) {
FinalVerdict,355,VERDICT_ASSIGNMENT_HEAD,REPORT_CONTROL,$FinalVerdict = if ($Failures.Count -gt 0) {
VERDICT,355,VERDICT_ASSIGNMENT_HEAD,REPORT_CONTROL,$FinalVerdict = if ($Failures.Count -gt 0) {
FAIL,356,REPORT_OUTPUT_STRING,REPORT_ONLY,"""STOP / READ_ONLY_INSPECT_ACTIVE_TASK_V0_BASE_FAILURE / NO_MUTATION"""
NO_MUTATION,356,REPORT_OUTPUT_STRING,REPORT_ONLY,"""STOP / READ_ONLY_INSPECT_ACTIVE_TASK_V0_BASE_FAILURE / NO_MUTATION"""
LOCK,357,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,} elseif ($UnknownWarnings.Count -gt 0 -or $BlockingWarnings.Count -gt 0) {
