"SourceId","RelativePath","RepoRelativePath","Lane","Extension","Length","CreationTime","LastWriteTime","IsTextLike","IsGitAddedPastWeek","IsLocalRecent","Sha256","Disposition","PrimaryThemeFromName","TitleFromName","FullPath"
"SRC-00001","_CHAT_DROPS/CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md","","_CHAT_DROPS",".md","18996","2026-05-26T00:34:28.7978263-04:00","2026-05-27T17:59:23.3214273-04:00","True","False","True","D5A687EDB431EC4D830285F6D25EEFEDAC442D0AA7E7B34768414C8D7837DA76","MATERIAL","HOUSE_ROUTING_ROOMS","CHAT DROP COPY CHAT HOUSE RULES COCKPIT CARD APPLIED","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md"
"SRC-00002","_CHAT_DROPS/CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1.1/LOCAL_PERSON_RESEARCH_ROOM_20260524_MANIFEST_V1.1.txt","","_CHAT_DROPS",".txt","11278","2026-05-25T01:35:10.9989223-04:00","2026-05-25T01:35:11.0690131-04:00","True","False","True","072C9E6CF479E0904152AB2B91826A2A394B6E394FE0E9655EEA43F8FD30C40D","SOURCE_OR_RESEARCH","PROOF_CUSTODY","LOCAL PERSON RESEARCH ROOM MANIFEST Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1.1\LOCAL_PERSON_RESEARCH_ROOM_20260524_MANIFEST_V1.1.txt"
"SRC-00003","_CHAT_DROPS/CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1.1/LOCAL_PERSON_RESEARCH_ROOM_20260524_V1.1.zip","","_CHAT_DROPS",".zip","1078378","2026-05-25T01:35:11.3278757-04:00","2026-05-25T01:35:11.6987302-04:00","False","False","True","E8084AB12BE55DA920F6C8DB8B2E6A4FCCF6ABEBB0F7502D048473FF36414642","SOURCE_OR_RESEARCH","SOURCE_INTAKE_RESEARCH","LOCAL PERSON RESEARCH ROOM Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1.1\LOCAL_PERSON_RESEARCH_ROOM_20260524_V1.1.zip"
"SRC-00004","_CHAT_DROPS/CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1.1/ZIP_SHA256_V1.1.txt","","_CHAT_DROPS",".txt","242","2026-05-25T01:35:11.7329299-04:00","2026-05-25T01:35:11.7641659-04:00","True","False","True","B6D6D78E17C710D95B4774FE2338A8842669470CCD47BE635A66CDE90906A38F","SOURCE_OR_RESEARCH","PROOF_CUSTODY","ZIP SHA256 Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1.1\ZIP_SHA256_V1.1.txt"
"SRC-00005","_CHAT_DROPS/CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1/LOCAL_PERSON_RESEARCH_ROOM_20260524_MANIFEST_V1.txt","","_CHAT_DROPS",".txt","1360","2026-05-25T01:17:04.3268810-04:00","2026-05-25T01:17:04.3712536-04:00","True","False","True","C54768FA6EBE11E77AA43C8102B212E422445B4F1E929B6E602E2C65C4D9C36C","SOURCE_OR_RESEARCH","PROOF_CUSTODY","LOCAL PERSON RESEARCH ROOM MANIFEST Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1\LOCAL_PERSON_RESEARCH_ROOM_20260524_MANIFEST_V1.txt"
"SRC-00006","_CHAT_DROPS/CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1/LOCAL_PERSON_RESEARCH_ROOM_20260524_V1.zip","","_CHAT_DROPS",".zip","37329","2026-05-25T01:17:04.7069006-04:00","2026-05-25T01:17:04.8747318-04:00","False","False","True","E81E448C348DBCF9D81760400FF40358C40A02EC06EE308D08AAA7266E628FF6","SOURCE_OR_RESEARCH","SOURCE_INTAKE_RESEARCH","LOCAL PERSON RESEARCH ROOM Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1\LOCAL_PERSON_RESEARCH_ROOM_20260524_V1.zip"
"SRC-00007","_CHAT_DROPS/CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1/ZIP_SHA256_V1.txt","","_CHAT_DROPS",".txt","238","2026-05-25T01:17:04.9216239-04:00","2026-05-25T01:17:04.9528457-04:00","True","False","True","587A97EB6A531E1C35079B2CF24CCEA795AB63F349F1DA883CD4C007A4298300","SOURCE_OR_RESEARCH","PROOF_CUSTODY","ZIP SHA256 Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\CHAT_DROP_COPY__LOCAL_PERSON_RESEARCH_ROOM_EXPORT_V1\ZIP_SHA256_V1.txt"
"SRC-00008","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522 - Copy.md","","_CHAT_DROPS",".md","26889","2026-05-30T00:47:33.6200890-04:00","2026-05-28T19:44:16.3915702-04:00","True","False","True","9C01E3CE1627D0E93613CE2DC460C6EFDCE5396E58001DC75A2399E951A5F37C","MATERIAL","HOUSE_ROUTING_ROOMS","CHAT DROP COPY CHAT HOUSE RULES COCKPIT CARD APPLIED    Copy","C:\Users\13527\Desktop\123\_CHAT_DROPS\ROOT_CLEANOUT_DROP_COPY_20260530_200513\CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522 - Copy.md"
"SRC-00009","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md","","_CHAT_DROPS",".md","29594","2026-05-27T18:35:59.2985029-04:00","2026-05-30T06:34:46.8410109-04:00","True","False","True","FEE5921B63C1825D53A6607FEBC449FCA9758E99863AC1085F17E0261675E55B","MATERIAL","HOUSE_ROUTING_ROOMS","CHAT DROP COPY CHAT HOUSE RULES COCKPIT CARD APPLIED","C:\Users\13527\Desktop\123\_CHAT_DROPS\ROOT_CLEANOUT_DROP_COPY_20260530_200513\CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md"
"SRC-00010","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__CODE_GATE_WARNING_JUDGMENT_HOUSE_FLOW_V1.md","","_CHAT_DROPS",".md","13979","2026-05-27T22:49:53.6421740-04:00","2026-05-27T22:49:49.5437546-04:00","True","False","True","FF51390F3F2934514551131D297C8657D977F98D352A3A3B70E0FE426CD82994","MATERIAL","HOUSE_ROUTING_ROOMS","CHAT DROP COPY CODE GATE WARNING JUDGMENT HOUSE FLOW Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\ROOT_CLEANOUT_DROP_COPY_20260530_200513\CHAT_DROP_COPY__CODE_GATE_WARNING_JUDGMENT_HOUSE_FLOW_V1.md"
"SRC-00011","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__EXPOSURE_TRIGGERS_POWERPLAY_CRIME_SCENE_RULE_V1.md","","_CHAT_DROPS",".md","1408","2026-05-30T06:34:46.9070512-04:00","2026-05-30T06:34:46.8226842-04:00","True","False","True","1D6EF82107BC44F5F6EDA5896AF29E1CC79A3800152C283C95A54060D2620E54","MATERIAL","CHAT_HANDOFF_CONTEXT","CHAT DROP COPY EXPOSURE TRIGGERS POWERPLAY CRIME SCENE RULE Vx","C:\Users\13527\Desktop\123\_CHAT_DROPS\ROOT_CLEANOUT_DROP_COPY_20260530_200513\CHAT_DROP_COPY__EXPOSURE_TRIGGERS_POWERPLAY_CRIME_SCENE_RULE_V1.md"
"SRC-00012","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_CHECKPOINT_KEY_2E6F99ED9EFE_20260530 - Copy.md","","_CHAT_DROPS",".md","1046","2026-05-30T00:47:05.5475127-04:00","2026-05-30T00:38:10.5324544-04:00","True","False","True","453C3D34F0A03B1A1ABA4D63DD9AEE61548472775802FEF207D6420CDF8D8073","MATERIAL","HELPER_GROWTH","CHAT DROP COPY HELPER GROWTH CHAIN FLIGHT RECORDER CHECKPOINT KEY 2E6F99ED9EFE    Copy","C:\Users\13527\Desktop\123\_CHAT_DROPS\ROOT_CLEANOUT_DROP_COPY_20260530_200513\CHAT_DROP_COPY__HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_CHECKPOINT_KEY_2E6F99ED9EFE_20260530 - Copy.md"
"SRC-00013","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_CHECKPOINT_KEY_2E6F99ED9EFE_20260530.md","","_CHAT_DROPS",".md","1046","2026-05-30T00:38:10.5324544-04:00","2026-05-30T00:38:10.5324544-04:00","True","False","True","453C3D34F0A03B1A1ABA4D63DD9AEE61548472775802FEF207D6420CDF8D8073","MATERIAL","HELPER_GROWTH","CHAT DROP COPY HELPER GROWTH CHAIN FLIGHT RECORDER CHECKPOINT KEY 2E6F99ED9EFE","C:\Users\13527\Desktop\123\_CHAT_DROPS\ROOT_CLEANOUT_DROP_COPY_20260530_200513\CHAT_DROP_COPY__HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_CHECKPOINT_KEY_2E6F99ED9EFE_20260530.md"
