"Theme","ConceptSignals","SourceFiles"
"PROOF_CUSTODY","29645","3530"
"HOUSE_ROUTING_ROOMS","8831","1003"
"SAVE_LOCK_GIT","7245","1110"
"KEY_LEDGER_MAP_REGISTRY","5162","735"
"TOOLS_HARNESS_RUNNERS","5056","485"
"SOURCE_INTAKE_RESEARCH","4931","576"
"GENERAL_IDEA","3134","748"
"SHAPE_GATE_CONTRACT","2225","568"
"HELPER_GROWTH","2042","217"
"CLAIM_CAPABILITY","1123","142"
"AUTHORITY_BOUNDARY","658","231"
"CHAT_HANDOFF_CONTEXT","555","97"
"FUTURE_IDEA_PARKING","215","52"
"ROOT_CLEANOUT_CUSTODY","46","20"
"SOFTSUIT_EDWARD_METHOD","25","15"
