"Lane","Files","TextLikeFiles","GitAddedPastWeek","Bytes"
"_MISC_DRAWER","1911","1464","0","220275796"
"_TRANSCRIPT_CUSTODY","640","348","0","9588106"
"REPO/HOUSE_WORK","495","495","483","54979640"
"_TOOLS_AND_SCRIPTS","431","402","0","7879596"
"_LOCAL_CUSTODY_AND_RECEIPTS","313","305","0","4702110"
"REPO/PROOF_HISTORY","246","246","244","565068"
"REPO/BRAIN_LEARNING","188","188","177","979387"
"_SOURCE_RESEARCH_NOTES","114","92","0","4522129"
"REPO/CleanSeedsBuild","92","63","2","12020036"
"HELPER_CAPABILITY_SYSTEM_V2_3_HOUSE_HARNESS_PACK_V0_2","88","88","0","1022441"
"REPO/COMMAND_CENTER","72","72","68","224782"
"REPO/SOURCE_ORE","54","54","54","2257495"
"REPO/MULE_LOCAL_ONLY","40","40","0","2724272"
"REPO/MULE_WORKSHOP","38","38","38","106945"
"_CHAT_DROPS","30","28","0","1264525"
"REPO/MAIL_ROOM","22","21","2","52373"
"REPO/RESEARCH_PACKETS","4","4","3","29191"
"_MEDIA_ASSETS","3","0","0","1083313"
"REPO/ACTIVE_GUIDES","3","3","0","581208"
"REPO/TOOL_PACKS","3","0","0","185436"
"REPO/CORE_GUIDE_BACKUPS","3","3","3","574771"
"REPO/ACTIVE_ANCHOR.txt","1","1","0","278"
"REPO/START_HERE_CURRENT_HOUSE_LEDGER.md","1","1","1","1166"
"REPO/NEOCITIES_DATA_FOLDER_CRAWL_20260512.txt","1","1","0","2486"
"REPO/README.md","1","1","0","3705"
"REPO/_MERGE_AUDIT","1","0","0","0"
"REPO/.gitignore","1","0","0","857"
"desktop.ini","1","0","0","115"
"REPO/GPT_PROMPTS_CUSTODY","1","0","0","815"
