"Theme","UniqueConcepts","UseNow","NextWork","WantLater","Reference"
"PROOF_CUSTODY","17637","2687","1590","1329","12031"
"HOUSE_ROUTING_ROOMS","5291","1239","549","454","3049"
"SOURCE_INTAKE_RESEARCH","3337","593","353","274","2117"
"KEY_LEDGER_MAP_REGISTRY","3239","608","314","207","2110"
"SAVE_LOCK_GIT","3041","528","242","238","2033"
"GENERAL_IDEA","2456","557","198","127","1574"
"TOOLS_HARNESS_RUNNERS","2241","501","139","237","1364"
"SHAPE_GATE_CONTRACT","1218","275","75","61","807"
"HELPER_GROWTH","1064","190","201","4","669"
"CLAIM_CAPABILITY","759","97","102","152","408"
"CHAT_HANDOFF_CONTEXT","452","147","56","35","214"
"AUTHORITY_BOUNDARY","421","118","19","36","248"
"FUTURE_IDEA_PARKING","199","26","31","65","77"
"ROOT_CLEANOUT_CUSTODY","43","12","2","11","18"
"SOFTSUIT_EDWARD_METHOD","25","4","3","8","10"
