"Name","Count","Bytes"
".txt","7627","108941977"
"","5558","132710978"
".md","4874","38929289"
".ps1","1220","25024247"
".vtt","825","19376048"
".csv","620","247487555"
".json","613","10501985"
".zip","252","55518143"
".html","112","871164"
".idx","84","2483488"
".srt","71","9074043"
".log","64","403215"
".png","61","95938280"
".sample","56","107152"
".cmd","48","55332"
".js","43","719838"
".css","39","1853245"
".tsv","33","6793521"
".jsonl","30","94559"
".url","28","5063"
".dll","21","3030288"
".pid","18","99"
".pack","16","369015956"
".rev","16","127360"
".py","13","444871"
".bat","10","8201"
".lnk","9","17757"
".docx","8","418027"
".exe","7","235454836"
".pdf","6","606204"
".ini","5","371"
".mtimes","4","544"
".gitattributes","4","272"
".backup_20260522_002604","4","36981"
".graph","4","124448"
".gitignore","4","3428"
".6c782951d6f54b25a362361c6673412d","3","1836"
".7z","3","476485097"
".svg","3","32439"
".pyc","3","264732"
".key","3","198"
".xlsx","3","140244"
".arsc","3","6072696"
".jpg","2","663622"
".previous","1","309"
".patch","1","2156"
".m","1","1046"
