"RelativePath","FullName","TopLevel","Extension","Length","LastWriteTimeUtc","Class"
"desktop.ini","C:\Users\13527\Desktop\123\desktop.ini","ROOT",".ini","115","2026-05-30T18:39:35.0794315Z","ROOT_FILE"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_HANDOFF_ACTIVE_MESS_RULES_ROW001_PACKAGING_20260604.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_HANDOFF_ACTIVE_MESS_RULES_ROW001_PACKAGING_20260604.md","COMMAND_CENTER",".md","11412","2026-06-04T03:34:43.5338639Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604.md","COMMAND_CENTER",".md","10061","2026-06-04T07:34:56.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_V2_MANIFEST_20260604.csv","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_V2_MANIFEST_20260604.csv","COMMAND_CENTER",".csv","943","2026-06-04T07:34:56.0000000Z","MANIFEST"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_ROOT_NO_LOOSE_FILES_RULE_V1.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_ROOT_NO_LOOSE_FILES_RULE_V1.md","COMMAND_CENTER",".md","4025","2026-06-04T07:34:54.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\PATH_UPDATE_TEMPLATE_V2.csv","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\PATH_UPDATE_TEMPLATE_V2.csv","COMMAND_CENTER",".csv","938","2026-06-04T07:34:56.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_V1_1.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_V1_1.md","COMMAND_CENTER",".md","5938","2026-06-04T07:34:54.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","COMMAND_CENTER",".md","10986","2026-06-04T07:32:12.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\START_HERE_MULE_CORRECTION_V2.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\START_HERE_MULE_CORRECTION_V2.md","COMMAND_CENTER",".md","674","2026-06-04T07:34:56.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604.md","COMMAND_CENTER",".md","8476","2026-06-04T07:32:14.0000000Z","PACKET_OR_ORDER"
