"QueueId","Name","Family","SHA256","SizeBytes","SourcePath","ProposedReviewBucket","AuthorityStatus","ExecutionStatus","RouteStatus","ProposedDisposition","DispositionReason","ActionNow","PhysicalActionAuthorized"
"LRD-045","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","ROOT_HELD_NON_SCRIPT_CUSTODY_QUEUE_BUILDER","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","22277","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","ROOT_DELTA_REVIEW/NON_SCRIPT_CUSTODY_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-046","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","ROOT_HELD_NON_SCRIPT_CUSTODY_QUEUE_BUILDER","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","22277","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","ROOT_DELTA_REVIEW/NON_SCRIPT_CUSTODY_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-047","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_2.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","7D99F1EE4DC8EBB140A2A097B466F4DA8FD8BCF0E74EC2C131F24B9D7A313322","29201","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-048","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_3.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","7F10DB255DD2A00CCB4AC90BEC2B5A9491A902946A3732933D3AAC86B234DAFB","30250","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_3.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-049","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_4.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","FD8B25E4F1620DFECEC4D85B954A4C18100262329167F56F6EE58AFBA3178990","31734","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_4.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-050","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_5.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","8E0E0E36C347C60F28C22AB34956EFD9E9179E6E173E91E8E8D9CF507EAE7781","24511","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_5.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-051","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","C7E77EB8A3B444F544504EA58635A84F87CADAD1C1D6C8D75A82AE8EBE9F2B52","23934","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-052","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_V0_5_MANUAL_DECISION_WORKSHEET_20260609.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","83A9FA61B92E7BCF99FB8EB3098B8D2611A0F68AFA03403B8465C498918B4890","13174","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_V0_5_MANUAL_DECISION_WORKSHEET_20260609.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-053","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_V0_5_REVIEW_AND_NEXT_SELECTOR_20260609_V0_2.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","4651E84646D85E4020D52F976ACA007DB6FEAB7F49048E29A5D42324533B1650","16849","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_V0_5_REVIEW_AND_NEXT_SELECTOR_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
"LRD-054","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_V0_5_REVIEW_AND_NEXT_SELECTOR_20260609.ps1","ROOT_HELD_GROUP_DRY_RUN_SELECTOR_PRIOR_FAMILY","D734F12B8C9E5AFC826822C026FAB5EA8E65AFA02018AC24A452B9831539E78C","11767","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_V0_5_REVIEW_AND_NEXT_SELECTOR_20260609.ps1","ROOT_DELTA_REVIEW/ROOT_HELD_SELECTOR_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_ROUTE_TO_OLD_LOADS_AFTER_USER_APPROVAL","Route-control-surface delta file appears older or adjacent to current active route-control work; keep as proof/history candidate, not active authority.","NO","NO"
