"QueueId","Name","Family","SHA256","SizeBytes","SourcePath","ProposedReviewBucket","AuthorityStatus","ExecutionStatus","RouteStatus","ProposedDisposition","DispositionReason","ActionNow","PhysicalActionAuthorized"
"LRD-017","BUILD_HSRB_001_LAST_PASSING_PROOF_AND_SUPERSEDED_FAILED_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","HSRB_REVIEW_SCRIPT","E5DB9766D24CB91D07870F6F3488DA59DA39AC439131DC9D4167A0A1E76BB2B3","19228","C:\Users\13527\Desktop\123\BUILD_HSRB_001_LAST_PASSING_PROOF_AND_SUPERSEDED_FAILED_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_PROOF_INDEX_HISTORY","Proof index builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-018","BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","HSRB_REVIEW_SCRIPT","B092DFA7BEAA88578B8771D13B0740CBDFB4D1646AE1B0EEF93DBC660E182FAF","11957","C:\Users\13527\Desktop\123\BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-019","BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","HSRB_REVIEW_SCRIPT","64A8B554D55ACFD1C361D66B23140C2201797864DE712F0BAF4724FE201B6B78","13324","C:\Users\13527\Desktop\123\BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-020","BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","HSRB_REVIEW_SCRIPT","E63B0B0CE457AC190552040FF378F41BF853EAF0C02CAC3FAA8685A43428C015","9525","C:\Users\13527\Desktop\123\BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-021","BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","HSRB_REVIEW_SCRIPT","643F81A0D24B052F1C97F88AC01AD1C3FFEBEE80D371115C13559B05378E3BB4","16799","C:\Users\13527\Desktop\123\BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-022","BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","HSRB_REVIEW_SCRIPT","F6D596A4E32DFA83D3C4BEDEBB85C3BCA047746A9E0F42EC2B4DD43BDE7E3476","15250","C:\Users\13527\Desktop\123\BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-023","BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2 (1).ps1","HSRB_REVIEW_SCRIPT","D09F00A6C505558C321037900662379B2F9AA34EE8C13F4A400EFB8AC96CC97F","19150","C:\Users\13527\Desktop\123\BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2 (1).ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-024","BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","HSRB_REVIEW_SCRIPT","D09F00A6C505558C321037900662379B2F9AA34EE8C13F4A400EFB8AC96CC97F","19150","C:\Users\13527\Desktop\123\BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-025","BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","HSRB_REVIEW_SCRIPT","0A7BB65A78B9C9EF62F4565AD5FF87FFD5C4D4DA2C11EE6AB0C09E14668B36A4","16004","C:\Users\13527\Desktop\123\BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_CLOSEOUT_PROOF_HISTORY","Closeout builder appears to support proof/history; review before later old-load route.","NO","NO"
"LRD-026","BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","HSRB_REVIEW_SCRIPT","954E98860D82F4D65610C9D5A27A07305BDC48E769DC42C1D36DB19A4D989BCE","20207","C:\Users\13527\Desktop\123\BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_TEMPLATE_RULE_SUPPORT_REVIEW","Template rule/attempt index helper may preserve rule-support context; review before later old-load route.","NO","NO"
