"QueueId","Name","Family","SHA256","SizeBytes","SourcePath","ProposedReviewBucket","AuthorityStatus","ExecutionStatus","RouteStatus","ProposedDisposition","DispositionReason","ActionNow","PhysicalActionAuthorized"
"LRD-001","BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_COVERAGE_ROLLUP_NO_EXECUTION_20260609_V0_1.ps1","64_ROW_HELPER_REVIEW_QUEUE_SCRIPT","580C7EACBD7C774C3E11BD852B897A6B7DD9885DE2B74A8B6CC66FBA2FC2B35D","20534","C:\Users\13527\Desktop\123\BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_COVERAGE_ROLLUP_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/64_ROW_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_64_ROW_COVERAGE_ROLLUP_PROOF","64-row coverage rollup helper appears tied to proof/coverage confirmation; preserve for proof review before any later old-load route.","NO","NO"
"LRD-002","BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_COVERAGE_ROLLUP_NO_EXECUTION_20260609_V0_2.ps1","64_ROW_HELPER_REVIEW_QUEUE_SCRIPT","A15AE6A75233082895765EAF840B00CFB2976AC212E59FEC3F5129E0A55EB828","25077","C:\Users\13527\Desktop\123\BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_COVERAGE_ROLLUP_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/64_ROW_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_64_ROW_COVERAGE_ROLLUP_PROOF","64-row coverage rollup helper appears tied to proof/coverage confirmation; preserve for proof review before any later old-load route.","NO","NO"
"LRD-003","BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_COVERAGE_ROLLUP_NO_EXECUTION_20260609_V0_3.ps1","64_ROW_HELPER_REVIEW_QUEUE_SCRIPT","D077F9E7ED0906F08D9B44C79103DBB6B3CD58652F8053F0CA66017E77A56014","28320","C:\Users\13527\Desktop\123\BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_COVERAGE_ROLLUP_NO_EXECUTION_20260609_V0_3.ps1","ROOT_DELTA_REVIEW/64_ROW_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_64_ROW_COVERAGE_ROLLUP_PROOF","64-row coverage rollup helper appears tied to proof/coverage confirmation; preserve for proof review before any later old-load route.","NO","NO"
"LRD-004","BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_INPUT_SURFACE_DIAGNOSTIC_NO_EXECUTION_20260609_V0_1.ps1","64_ROW_HELPER_REVIEW_QUEUE_SCRIPT","F6868564A4FA16C413D97355A856E2D42344CEF8198CF2260C2EBAE0EFF7C07C","17304","C:\Users\13527\Desktop\123\BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_INPUT_SURFACE_DIAGNOSTIC_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/64_ROW_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_INPUT_SURFACE_DIAGNOSTIC_PROOF","Input-surface diagnostic helper appears tied to failure/diagnostic proof; preserve for proof review before any later old-load route.","NO","NO"
"LRD-005","BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_INPUT_SURFACE_DIAGNOSTIC_NO_EXECUTION_20260609_V0_2.ps1","64_ROW_HELPER_REVIEW_QUEUE_SCRIPT","2298E7F87493F003BA4AE23B33FC7306C0D7E99B74C3402ECF05170035EA241B","12096","C:\Users\13527\Desktop\123\BUILD_64_ROW_HELPER_SCRIPT_REVIEW_QUEUE_HSRB_001_006_INPUT_SURFACE_DIAGNOSTIC_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/64_ROW_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_INPUT_SURFACE_DIAGNOSTIC_PROOF","Input-surface diagnostic helper appears tied to failure/diagnostic proof; preserve for proof review before any later old-load route.","NO","NO"
"LRD-006","BUILD_HELPER_SCRIPT_REVIEW_BATCH_SELECTOR_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","8F2C28726DFD75859EB81C9DA7BC31D83504CFDA4DFC4A50004AF0377670337F","20778","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_BATCH_SELECTOR_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_BATCH_SELECTOR_RESIDUE","Batch selector helper appears to be review-chain residue; not active authority.","NO","NO"
"LRD-007","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","001B379F3884A1E44F3A8C53DFE4016AA0E25514728BD8ED3D598411D8D557FA","11887","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_NEXT_BATCH_SELECTOR_RESIDUE","Next-batch selector helper appears to be review-chain residue; not active authority.","NO","NO"
"LRD-008","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_003_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","567059C302FC741708630C4F3BF9C8246EEA4E030831DF5B802A355633741A05","14848","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_003_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_NEXT_BATCH_SELECTOR_RESIDUE","Next-batch selector helper appears to be review-chain residue; not active authority.","NO","NO"
"LRD-009","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_003_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_2.ps1","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","59BEB116930C04966ACAE3F7515676EFF9584AE388E220D3400DA308DB5EFAB7","30234","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_003_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_NEXT_BATCH_SELECTOR_RESIDUE","Next-batch selector helper appears to be review-chain residue; not active authority.","NO","NO"
"LRD-010","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_004_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","157F489F9BEAF18D4C1FEE14FD56E0238A9A15F00B9C7B2D692907AA70D615AF","18561","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_004_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","NOT_ACTIVE_AUTHORITY","DO_NOT_EXECUTE","NO_ROUTE_YET_USER_REVIEW_REQUIRED","CANDIDATE_NEXT_BATCH_SELECTOR_RESIDUE","Next-batch selector helper appears to be review-chain residue; not active authority.","NO","NO"
