"TicketID","FileName","SourcePath","DeclaredSHA256","ActualSHA256","StaticDisposition","DispositionBucket","RiskMarkerClass","ContainsCopyItem","ContainsGitCommand","ContainsMoveItem","ContainsRemoveItem","ContainsRenameItem","ContainsStartProcess","ContainsInvokeExpression","ContainsSetClipboard","HighRiskCommandMarker","RiskMarked","UnclassifiedRiskMarker","ExecutionClearance","RouteClearance","CleanupClearance","DoctrinePromotion","ActionNow","DecisionNote"
"RHG-DRY-014","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-015","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-021","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_STOPLINE_FIX_V0_2.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_STOPLINE_FIX_V0_2.ps1","7951D0625B2E168C4C8F3EDF28570F2E2F3D7D969D78472E466CA9763DC48C3C","7951D0625B2E168C4C8F3EDF28570F2E2F3D7D969D78472E466CA9763DC48C3C","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-022","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_V0_1.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_V0_1.ps1","31B72B957B3F8DAAB0C7A82174E45EE4F8CB1CB677FF4FBA1694403FA5848F58","31B72B957B3F8DAAB0C7A82174E45EE4F8CB1CB677FF4FBA1694403FA5848F58","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-023","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_20260608_HEAVY_BOUNDARY.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_20260608_HEAVY_BOUNDARY.ps1","FEF55DD8FDB42CC37A3BF4F7210F74CF05B28E8EC86F433856BC13A5BBA8260A","FEF55DD8FDB42CC37A3BF4F7210F74CF05B28E8EC86F433856BC13A5BBA8260A","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-024","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_20260608_HEAVY_BOUNDARY.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_20260608_HEAVY_BOUNDARY.ps1","CD2FE911BFCFFDDC7BB771DF6AA0A9CAA04D58F1B6CF7B0DE64E13F8F07D927F","CD2FE911BFCFFDDC7BB771DF6AA0A9CAA04D58F1B6CF7B0DE64E13F8F07D927F","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-025","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_RUNNER_FIX_V0_3_20260608_HEAVY_BOUNDARY.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_RUNNER_FIX_V0_3_20260608_HEAVY_BOUNDARY.ps1","F72EA2099E6ECFEC026D88117F071E8102A702E3FD5DD38414E144283B80BBE1","F72EA2099E6ECFEC026D88117F071E8102A702E3FD5DD38414E144283B80BBE1","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-026","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY_V0_2.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY_V0_2.ps1","E71332938075FFF5B5813162D367A518F1158D36130FCD992F8E46079D21A334","E71332938075FFF5B5813162D367A518F1158D36130FCD992F8E46079D21A334","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-027","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY_V0_3.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY_V0_3.ps1","ACB8CCB3EB2035610A5E1A47B2F0E29E55CB5F388FEF54A6E3F8CFF5EC1C7F09","ACB8CCB3EB2035610A5E1A47B2F0E29E55CB5F388FEF54A6E3F8CFF5EC1C7F09","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
"RHG-DRY-028","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY.ps1","1C83C906A72C9471D28281062D6695F7BAB0D008DCFC732C700F95E87E3DFF8A","1C83C906A72C9471D28281062D6695F7BAB0D008DCFC732C700F95E87E3DFF8A","ROOT_HELD_ROUTE_OR_HOLD_FAMILY_REVIEW_ONLY","ROOT_HELD_ROUTE_OR_HOLD_FAMILY__REVIEW_ONLY","REVIEW_ONLY_RISK_MARKER__NO_CLEARANCE","False","True","False","False","False","False","False","False","False","True","False","NO","NO","NO","NO","NO","Review-only disposition. Risk markers preserved as evidence; high-risk markers are blocked for execution and do not grant route, cleanup, commit, push, or doctrine authority."
