"TicketID","FileName","StaticDisposition","ContainsMoveItem","ContainsRemoveItem","ContainsRenameItem","ContainsCopyItem","ContainsGitCommand","RiskClass","SourceActionNow","SelectorActionNow","ActionNow","RecursiveDryRunExpansionRequired","WholeHouseClearance","ExecutionClearance","RouteClearance","CleanupClearance","DoctrinePromotion"
"RHG-DRY-001","BUILD_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_20260608.ps1","REMAINING_GENERAL_REVIEW_ONLY_BUCKET","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-035","FIELD_APPLY_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_20260608.ps1","REMAINING_GENERAL_REVIEW_ONLY_BUCKET","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-036","FIELD_APPLY_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_V0_2_20260608.ps1","REMAINING_GENERAL_REVIEW_ONLY_BUCKET","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-037","FIELD_APPLY_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_V0_3_20260608.ps1","REMAINING_GENERAL_REVIEW_ONLY_BUCKET","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-038","FREEZE_GENERATED_RUNNER_DEEP_LAYER_AND_WRITE_SAFE_GIT_RUNNER_20260608.ps1","REMAINING_CUSTODY_PROOF_OR_RECEIPT_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-039","FREEZE_GIT_SNAPSHOT_NO_WORKTREE_AND_WRITE_FIXED_RUNNER_20260608.ps1","REMAINING_CUSTODY_PROOF_OR_RECEIPT_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-043","ROUGH_LOCAL_IMPORT_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_CHAIN_20260608.ps1","REMAINING_GENERAL_REVIEW_ONLY_BUCKET","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-044","ROUGH_LOCAL_IMPORT_HELPER_FILE_SURFACE_PREFLIGHT_LANE_CLOSEOUT_20260608_HEAVY_BOUNDARY.ps1","REMAINING_QUEUE_SELECTOR_OR_CLOSEOUT_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-045","ROUGH_LOCAL_IMPORT_ROOT_DROP_INTAKE_WASHER_HELPER_CANDIDATE_OPTION_SET_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-046","ROUGH_LOCAL_IMPORT_ROOT_DROP_INTAKE_WASHER_OLD_LOAD_OR_SYSTEM_OPTION_SET_V0_2_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
