"FullPath","Filename","Extension","SizeBytes","CreatedTime","ModifiedTime","SHA256","CurrentFolderLane","FirstReadSummary","ObjectType","Class","AuthorityStatus","DoesNotProve","ParentSourceRelation","AccessionRecord","DiscoverableFromCurrentSurface","ShuffleWithoutAccessionRisk","DuplicateHashScope"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\01_git_remote_v.txt","01_git_remote_v.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","D8B64BAF9B5D61DF3A5843310B9DFB4723F1A9C02C0B116FAB41EE39A94429A6","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.0848371-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\02_git_branch_current.txt","02_git_branch_current.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","AA3849C00C04576D2E04C2E0046731A4AFD4E7CE15460CC466D662EBFF2A7033","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.1865714-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\03_git_log_1.txt","03_git_log_1.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","CF7E3F9F2850C7D92153B5963306A7ECFDF17BD7DED9E3D08C69FD2EAA68EC63","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.2575025-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\04_git_fetch_origin.txt","04_git_fetch_origin.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","08BBFBF5532328B3481E17F4690F68D3A0FF6C21B1B150842C17F2F55D619CEF","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.3305915-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\05_git_rev_parse_HEAD.txt","05_git_rev_parse_HEAD.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","654C01CB9918FDDE5A634DCEFCA52E76799FCA45C328FC816A820C8F5CCD6225","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.4010639-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\06_git_rev_parse_origin_main.txt","06_git_rev_parse_origin_main.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","FAD539C32F09EB3002628F148E8C5A6CD3CA387D5BF80F1A650099A10AAB8816","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.4739925-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\07_git_status_short.txt","07_git_status_short.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","75F4E0E11E0E1DCE6FE4BFAE2958D7B66ED0B50DEC684D453990583C1DE46182","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.5442832-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\08_git_status_porcelain_v1.txt","08_git_status_porcelain_v1.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","9BF537CA61B6104271959C975F76324A4DF214F578A633E17BB4BF1B06D1135D","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.6206356-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\09_git_log_oneline_20.txt","09_git_log_oneline_20.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","F7854B120D186F4B1C3D639050B9C8F0E699E46663A004BDA7423DCE64FF57F0","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.7207970-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
"C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\GIT_CUSTODY_SCAN_20260601\SCAN_20260601_153909\10_git_branch_vv.txt","10_git_branch_vv.txt",".txt","2413","2026-06-01 15:39:09 -04:00","2026-06-01 15:39:09 -04:00","B286E3F87FEDA5146DEBAAD3CCEBAFFCF7DE482B029C9FA9A4E8CD85ED0505AC","Other under 123","COMMAND: git TIME: 2026-06-01T15:39:09.7910312-04:00 EXIT_CODE: 1 usage: git [-v | --version] [-h | --help] [-C <path>] [-c <name>=<value>] [--exec-path[=<path>]] [--html-path] [--","TXT","UNKNOWN_REVIEW_REQUIRED","","NOT_FOUND_IN_FIRST_READ","NO_PARENT_SOURCE_RELATION_FOUND_IN_SETUP","NO_EXPLICIT_ACCESSION_RECORD_FOUND","NO_DIRECT_CURRENT_SURFACE_NAME_HIT","POSSIBLE_SHUFFLE_WITHOUT_ACCESSION","NO_DUPLICATE_HASH_IN_SCOPE"
