"Status","Kind","FileCount","SizeMB","Bucket","Path"
" M","FILE","1","0.03","INDEX_UPDATE_REVIEW_FIRST","HOUSE_WORK/INDEXES/CURRENT_HOUSE_WORK_STATUS.md"
"??","FILE","1","0.01","BRAIN_LEARNING_SAVE_CANDIDATE","BRAIN_LEARNING/LOSSLESS_REMOVAL_AND_COMPRESSION_ACCOUNTING_RULE_20260604.md"
"??","FILE","1","0.01","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md"
"??","DIR","13","0.01","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_DISPOSABLE_FIXTURE_V1/"
"??","FILE","1","0","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_FIXTURE_DESIGN_RUNNER_V1_JOIN_PATH_ERROR_CAPTURE_20260603.md"
"??","FILE","1","0","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_LOCAL_RUNNER_CLUTTER_INVENTORY_20260603.csv"
"??","FILE","1","0","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_UNKNOWN_AUTHORITY_ROWS_DISPOSITION_20260603.md"
"??","FILE","1","0","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_UNKNOWN_AUTHORITY_ROWS_FINAL_CLOSEOUT_20260603.md"
"??","FILE","1","0","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_UNKNOWN_AUTHORITY_ROWS_FINAL_CLOSEOUT_TABLE_20260603.csv"
"??","FILE","1","0","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/SHA256_MANIFEST_ROW_001_DISPOSABLE_FIXTURE_V1.csv"
"??","DIR","1","0.02","IDEA_ROOM_ROW001_SAVE_CANDIDATE","HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/_RUNNER_REFERENCE/"
"??","FILE","1","0","PROOF_HISTORY_SAVE_CANDIDATE","PROOF_HISTORY/LOSSLESS_ACCOUNTABILITY_RULE_CORE_SEED_20260604.txt"
"??","FILE","1","0","PROOF_HISTORY_SAVE_CANDIDATE","PROOF_HISTORY/LOSSLESS_REMOVAL_AND_COMPRESSION_ACCOUNTING_RULE_RECEIPT_20260604.txt"
"??","FILE","1","0","PROOF_HISTORY_SAVE_CANDIDATE","PROOF_HISTORY/ROW_001_UNKNOWN_AUTHORITY_ROWS_DISPOSITION_RECEIPT_20260603.txt"
"??","FILE","1","0","PROOF_HISTORY_SAVE_CANDIDATE","PROOF_HISTORY/ROW_001_UNKNOWN_AUTHORITY_ROWS_FINAL_CLOSEOUT_RECEIPT_20260603.txt"
"??","DIR","10","0.12","LOCAL_RUNNER_REVIEW_FIRST","_LOCAL_RUNNERS/"
