ArtifactName,Path,Purpose,OwnerLane,ProofPointer,NextUpdateTrigger
README,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/README.md,Start card for UI lane,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,Any UI lane structure change
InventoryReport,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/REPORTS/UI_LANE_INVENTORY_REPORT_20260604.md,Inventory and lane decision,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,New UI/command-center source found
MasterBuildSpec,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SPEC/PROJECT_COMMAND_CENTER_UI_LANE_MASTER_BUILD_SPEC_V0_1_20260604.md,Master UI lane spec,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,Scope or acceptance test change
CommandGrammar,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/COMMAND_GRAMMAR/UI_COMMAND_GRAMMAR_V0_20260604.md,Command families and aliases,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,New command family
ActionCardTemplate,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/UI_ACTION_CARD_TEMPLATE_V0_20260604.md,Action card template,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,New permission/proof field
ScreenPanelMap,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_SCREEN_PANEL_MAP_V0_20260604.md,UI panel map,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,Panel/prototype change
PathMap,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PATH_MAPS/UI_LANE_PATH_MAP_V0_20260604.csv,Artifact path map,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,Any path change
ProofChecklist,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PROOF_GATES/UI_LANE_BUILD_PROOF_CHECKLIST_V0_20260604.md,Build proof gate,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,New proof gate
Backlog,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/BACKLOG/UI_LANE_NEXT_BUILD_BACKLOG_20260604.md,Phased next work,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,After any UI build phase
BlockerBurndown,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/REPORTS/UI_LANE_BLOCKER_BURNDOWN_20260604.md,Handled blockers and reductions,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,After blocker handling
SourceHandoff,HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SOURCE_HANDOFFS/MULE_HANDOFF_UI_LANE_BIG_JOB_COMBINED_20260604.md,Source custody for UI lane handoff,PROJECT_COMMAND_CENTER_UI_LANE,RECEIPTS/UI_LANE_BUILD_MANIFEST_20260604.csv,If handoff source changes
