PathOrObject,Kind,Action,Bytes,SHA256,Commit,Status,Notes
MULE_HANDOFF_EXACT_SET_SAVE_AND_TOP_DOWN_HELPER_REVIEW_20260604,source_handoff,routed_from_root,10986,F3F0888779396F77AFD7993E5A079086CBA2A05CF01CDF10AA97B44733094A28,9ba165fd05c5260463188dca40cd76e96ac4976d,SAVED,Root handoff copied to UI lane source handoffs and root copy removed after hash match
BRAIN_LEARNING/PACKAGING_LINK_CLUSTER_AND_NO_NESTED_ZIPS_RULE_20260604.md,rule,cleaned_and_saved,2401,4854A8FD38C0D22D4B70F5DE65DEBFAD35FEC67783EAEDFA9FFFD46779336DB8,aab4727ed1ddf7e157322701693b8a0286f80032,SAVED,Trailing Markdown whitespace repaired and receipt chain updated
PROOF_HISTORY/PACKAGING_LINK_CLUSTER_AND_NO_NESTED_ZIPS_RULE_RECEIPT_20260604.txt,receipt,updated_and_saved,2151,097BDC143F7237A7A52DF697C966820EDCC948402554D1106E3DF658DBFAC02E,aab4727ed1ddf7e157322701693b8a0286f80032,SAVED,Points to cleaned packaging rule hash
PROOF_HISTORY/ROOT_RESIDUE_CLEANUP_AND_INJECT_GOOD_RECEIPT_20260604_20260603_234658.txt,receipt,updated_and_saved,5607,A388C1CB883F787ACE9BE3C99ACFB0E02C0B68C19998D5D9EF7132B7CD1D2D44,aab4727ed1ddf7e157322701693b8a0286f80032,SAVED,Points to cleaned packaging rule and receipt hashes
ROOT_CLEANUP_HELPER_RULE_EXACT_SET,commit,committed_and_pushed,,,"aab4727ed1ddf7e157322701693b8a0286f80032",SAVED,Save root cleanup and helper rule receipts
ROW_001_STATIC_PACKET_EXACT_SET,commit,committed_and_pushed,,,"23094462038a504170e88b751d071b0112f6be60",SAVED,Save Row 001 static code shape packet
HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603/ROW_001_EXTRAS_SAVE_GATE_MAP_20260604.md,report,created_and_saved,8517,05037665DD37C7FA21915C5277AE121F54AA33934E3C02061DD492FE0D6B691F,9ba165fd05c5260463188dca40cd76e96ac4976d,SAVED,Classifies 26 remaining Row 001 extras into separate gates
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/REPORTS/TOP_DOWN_HELPER_LOWER_LAYER_ISSUE_MAP_20260604.md,report,created_and_saved,4898,1A692F05DD80C39E941BD88DAACC67EC5785AD47ED9FA11A8B58A6FCC1E4C6B4,9ba165fd05c5260463188dca40cd76e96ac4976d,SAVED,Top-down helper/lower-layer parent-boss issue map
TOP_DOWN_HELPER_MAP,commit,committed_and_pushed,,,"9ba165fd05c5260463188dca40cd76e96ac4976d",SAVED,Build top-down helper lower-layer maps
HOUSE_WORK/INDEXES/CURRENT_HOUSE_WORK_STATUS.md,status_index,partially_staged_then_left_with_residue,,7B94593310184FFD6C05727913FA891ABCBD4CA0CF5B38E78BD6055E11DEB8BD,aab4727ed1ddf7e157322701693b8a0286f80032,WATCH,Cleanup/rule status blocks saved; older UI/status residue remains unstaged
ROW_001_REMAINING_EXTRAS,classification,not_staged,,,,"PARKED_WITH_RETURN_TRIGGER",26 files remain for separate exact gates
_LOCAL_RUNNERS,local_runner_surface,not_staged,,,,"PARKED_WITH_RETURN_TRIGGER",Local runner scripts remain inert and unexecuted
