Path,Bytes,SHA256,Status,Purpose
BRAIN_LEARNING/MULE_ROOT_NO_LOOSE_FILES_RULE_20260604.md,1961,F531FEFE6199ABE7370A81CEB9867458C199C20D25D7619F97609DCAF915EB83,CREATED,Durable root no-loose-files closeout rule
HOUSE_WORK/INDEXES/CURRENT_HOUSE_WORK_STATUS.md,26927,CB5A047D60C959D2C07C15DB45756B518E4BBDCB90947D3380F39D43DF73B63A,UPDATED,Status surface updated and prior placeholder hashes repaired
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/README.md,1407,C27883688C36F9DB8AF300F61891924CD86BC1F9ABFFA6F41558A68688F44F71,CREATED,UI lane start card
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/REPORTS/UI_LANE_INVENTORY_REPORT_20260604.md,3235,6A597E1EE678E89C821FAEFDFD58A7A957DFE02D0A6F5DC7367617197C1C1D0E,CREATED,UI lane inventory and lane decision
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SPEC/PROJECT_COMMAND_CENTER_UI_LANE_MASTER_BUILD_SPEC_V0_1_20260604.md,3428,6D9D041FE026581ECC030D78577EEB8A3B2BA570F61AB93AE283700DF800C43F,CREATED,Master UI lane build spec
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/COMMAND_GRAMMAR/UI_COMMAND_GRAMMAR_V0_20260604.md,2822,6FE7F287488BF54337F6614C40DDD000DCEC8A9C768D98C1B8EB6592122C47BB,CREATED,Command grammar V0
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/UI_ACTION_CARD_TEMPLATE_V0_20260604.md,1274,72DDDE395C3BF07CDC5BE601DAD480037F39450AC1C12DEE80BF71513A5BB6B0,CREATED,Action card template V0
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_SCREEN_PANEL_MAP_V0_20260604.md,1498,385B8217233417D233A9E2641B2275330101CE40CA09ADF99EFF10F5DE2E23EC,CREATED,Screen and panel map V0
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PATH_MAPS/UI_LANE_PATH_MAP_V0_20260604.csv,2570,D1A6D7C18FFA599D41AD6BFB54CCD63F7EA3D485317301753ED2036AB1DD7680,CREATED,UI lane path map
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PROOF_GATES/UI_LANE_BUILD_PROOF_CHECKLIST_V0_20260604.md,1351,74E29F97A78A840879CE5945A6D13317A25E942ECD40C52A722179E982AA2E9A,CREATED,UI lane proof/checklist gate
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/BACKLOG/UI_LANE_NEXT_BUILD_BACKLOG_20260604.md,1477,55B68015A0EAC5E11774D274B112223E831B5B8801B3F29C1A2900108990ECB4,CREATED,UI lane next-build backlog
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/REPORTS/UI_LANE_BLOCKER_BURNDOWN_20260604.md,1501,D1C97A4220E520662E54696BC67902C5F2B01F8256BFF0B712291A3EAA18E526,CREATED,Blocker burn-down report
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SOURCE_HANDOFFS/MULE_HANDOFF_UI_LANE_BIG_JOB_COMBINED_20260604.md,20918,FAA36B89D890B148929F7D7582AC3547E70270EF118F91CBB7A6F3CDE1504CEB,ROUTED_SOURCE,Source custody copy of root handoff
