Path,Bytes,SHA256,Status,Purpose
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SOURCE_HANDOFFS/MULE_HANDOFF_UI_LANE_BIG_JOB_PHASE2_EXACT_SAVE_AND_BUILD_20260604.md,13188,2C4B6A2851676D6BC015376CDD208B547FECF967D0AC7E43AF27DC02639D2F0F,ROUTED_SOURCE,Phase 2 source custody copy routed from root
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/COMMAND_GRAMMAR/UI_COMMAND_REGISTRY_V0_2_20260604.md,3968,0C28BBC729F600FFF34455A0A92EA84D726D22F2B256DE4429AB263AFDCDDF76,CREATED,Command registry V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/UI_ACTION_RECIPE_LIBRARY_V0_2_20260604.md,4493,8256EE2069E3651A81D4BADFDCED34BEC21B94D8E72A32D93B977E4376833E9D,CREATED,Action recipe library V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_DASHBOARD_STATE_MODEL_V0_2_20260604.md,3002,5228DFD0B47F104EF1E993F6EA6023E79AE76485F451262743BF5ECD18B45DCB,CREATED,Dashboard state model V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_FILE_OBJECT_INSPECTOR_SPEC_V0_2_20260604.md,1609,6C0794F252E6BC40404933D169DB47406F7D41C3A4E3F9F693780C9E5B3EF9A2,CREATED,File/object inspector spec V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/SCREEN_MAPS/UI_PROOF_RECEIPT_VIEWER_SPEC_V0_2_20260604.md,1590,754C7B02E576FB559123959E63189FB6557C6F8237886BA5C336869F12A1B70B,CREATED,Proof/receipt viewer spec V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/ROOT_RESIDUE_ROUTE_ACTION_CARDS_V0_2_20260604.md,2169,5EDEBD98691B2E541798C957580DB5A7BD68C4D2C6303703236449592E2D2D8C,CREATED,Root-residue route action cards V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/SAVE_GATE_ACTION_CARDS_V0_2_20260604.md,1978,77D763CE2D7CE4262A6363365BF4E3357F0CDE248C7059EE4572F61C4BBAD540,CREATED,Save-gate action cards V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/ACTION_CARDS/BLOCKER_BURNDOWN_ACTION_CARDS_V0_2_20260604.md,1502,D91AD4F70B75CB9446228F7D518A724901742BD9B853C0B1B9466BDC128A9450,CREATED,Blocker burn-down action cards V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PROOF_GATES/UI_BIG_JOB_DATA_BUDGET_PROTOCOL_V0_1_20260604.md,1264,725B959DEC9EC93171D82D88148F8E6E6D88D554DEADC06EF960AA4FA3D513AF,CREATED,Big job data-budget protocol V0.1
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PROOF_GATES/UI_LANE_ACCEPTANCE_TEST_PLAN_V0_1_20260604.md,2014,4F9CFEE435E57CA337380605F9522307A1576128EB8A8AD6376CF31B981644A7,CREATED,UI lane acceptance test plan V0.1
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/PATH_MAPS/UI_LANE_PATH_MAP_V0_2_20260604.csv,3370,5285C13807816CB577E79ED8703C1FD707C648B248D38C57E9FA59FE1538B1E4,CREATED,UI lane path map V0.2
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/README.md,2431,157BF66E882E2EE13CFB0FC782027A34ABF9183691AA70566DE0B5DE679D5FC4,UPDATED,UI lane index updated with Phase 2 start points
HOUSE_WORK/PROJECT_COMMAND_CENTER_UI_LANE/BACKLOG/UI_LANE_NEXT_BUILD_BACKLOG_20260604.md,1689,A8F070AE275251B6193CC7D6408C226FCD8764A2CFCD4702AACEA08E88526722,UPDATED,UI lane backlog updated for post-Phase-2 next work
HOUSE_WORK/INDEXES/CURRENT_HOUSE_WORK_STATUS.md,25550,1E6CCD3E684F6CEB5C006CF302E07D0A2DE84F03E7F37F1EF1852303199CA1AF,UPDATED_STAGED_PARTIAL,Central status index staged with Phase 2 block only; older cleanup blocks remain unstaged in working tree
