"FileName","Kind","CurrentPath","OriginalRootPath","Bytes","SHA256","LastWriteTime","DurablePlacement","ShouldBeTracked","Reason"
"LOCK_SAVE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\LOCK_SAVE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1.ps1","C:\Users\13527\Desktop\123\LOCK_SAVE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1.ps1","19233","D66505D123BA8B2A4C56ABAC827698F7DF00E9BD7D2A964AA60F49AFBC98BDC3","2026-06-02T23:46:09","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"LOCK_SAVE_KEY_LEDGER_MAP_DRIVER_JOIN_INDEX_CARD_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\LOCK_SAVE_KEY_LEDGER_MAP_DRIVER_JOIN_INDEX_CARD_V1.ps1","C:\Users\13527\Desktop\123\LOCK_SAVE_KEY_LEDGER_MAP_DRIVER_JOIN_INDEX_CARD_V1.ps1","20071","265C1715A8E974C9BFAE99A075058873DBCEDC1DD97A8500692139652226961B","2026-06-03T00:12:17","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"LOCK_SAVE_LOWER_CAUSE_FILE_STAGE_COMMIT_EDGE_PROOF_PATTERN_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\LOCK_SAVE_LOWER_CAUSE_FILE_STAGE_COMMIT_EDGE_PROOF_PATTERN_V1.ps1","C:\Users\13527\Desktop\123\LOCK_SAVE_LOWER_CAUSE_FILE_STAGE_COMMIT_EDGE_PROOF_PATTERN_V1.ps1","17534","1BC5157017CA9B1796A4584D7A371CF2FF8EDFA832C7656ED605E23ED33D3029","2026-06-02T22:44:30","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"LOCK_SAVE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\LOCK_SAVE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1.ps1","C:\Users\13527\Desktop\123\LOCK_SAVE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1.ps1","17038","F43451CDF70B30B95D3BC766B6E48CD2389702CF78FE4331FEDB6D33AD3ED866","2026-06-02T22:32:37","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"LOCK_SAVE_LOWER_CAUSE_ROOT_SWEEP_WITH_ANCHOR_GATE_V1_1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\LOCK_SAVE_LOWER_CAUSE_ROOT_SWEEP_WITH_ANCHOR_GATE_V1_1.ps1","C:\Users\13527\Desktop\123\LOCK_SAVE_LOWER_CAUSE_ROOT_SWEEP_WITH_ANCHOR_GATE_V1_1.ps1","25271","265A201184C64546C59D2BDACEE15B4ACECD1FFBF3596CF185705B391040F7EA","2026-06-02T22:13:03","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"LOCK_SAVE_LOWER_CAUSE_ROOT_SWEEP_WITH_ANCHOR_GATE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\LOCK_SAVE_LOWER_CAUSE_ROOT_SWEEP_WITH_ANCHOR_GATE_V1.ps1","C:\Users\13527\Desktop\123\LOCK_SAVE_LOWER_CAUSE_ROOT_SWEEP_WITH_ANCHOR_GATE_V1.ps1","24693","C8BF2B73913DE3ABA0C9E616F36E49D8CC85F879792E322752F3795F7D5DFEAD","2026-06-02T22:10:59","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_DIVERGENCE_AND_CODE_GATE_BLOCKER_NO_WRITE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_DIVERGENCE_AND_CODE_GATE_BLOCKER_NO_WRITE_V1.ps1","C:\Users\13527\Desktop\123\READ_DIVERGENCE_AND_CODE_GATE_BLOCKER_NO_WRITE_V1.ps1","12662","16225EC2B292B8D7E4D5E50D874CB867DA72C07FC96F18255A0352F919A50456","2026-06-02T22:06:24","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_KEY_LEDGER_MAP_DRIVER_FIRST_LINK_PASS_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_KEY_LEDGER_MAP_DRIVER_FIRST_LINK_PASS_V1.ps1","C:\Users\13527\Desktop\123\READ_KEY_LEDGER_MAP_DRIVER_FIRST_LINK_PASS_V1.ps1","12818","F4921876A40063B006D480003062DEF22F08D1627B07AB181AEA17639B713A0B","2026-06-02T22:51:46","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_LEDGER_BRIDGE_TUNNEL_LINKING_START_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_LEDGER_BRIDGE_TUNNEL_LINKING_START_V1.ps1","C:\Users\13527\Desktop\123\READ_LEDGER_BRIDGE_TUNNEL_LINKING_START_V1.ps1","13025","A6EEB9462B45605357E87E22D89E65DAA77B98FE61B3AF661DF59E915C33B5AC","2026-06-02T22:50:02","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_LOWER_CAUSE_FILE_EDGE_STAGED_EDGE_MINI_CASE_01_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_LOWER_CAUSE_FILE_EDGE_STAGED_EDGE_MINI_CASE_01_V1.ps1","C:\Users\13527\Desktop\123\READ_LOWER_CAUSE_FILE_EDGE_STAGED_EDGE_MINI_CASE_01_V1.ps1","15179","6BD061BF47D576A7C9CB29B1BD9E1AC5B29B47E730B183708D8C27A311EB7CBF","2026-06-02T22:40:38","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
