ItemKey,ItemType,LocationType,Path,SHA256,RequiredSignal
PLAN,CUSTODY_SOURCE,ABSOLUTE,C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LOOSE_DOCS_20260531_033722\CURRENT_PLAN.txt,D67CA64A6C5D6E2A39E6320C058454335DEF7A2A99FB32FBB6C5D05E650889B4,harness building
ROADMAP,CUSTODY_SOURCE,ABSOLUTE,C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LOOSE_DOCS_20260531_033722\ROAD_MAP_V1.txt,77D273FCBF76047B9B4B732E4040417E46483C7E6A495D74D8FC0F04C2FD0958,Candidate Save Packet
CLAIM_SOURCE,CUSTODY_SOURCE,ABSOLUTE,C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LOOSE_DOCS_20260531_033722\HELPER_ASSERTION_AND_CLAIM_GRAMMAR_DEEP_DIVE_V2.1.txt,C3025D30827AEE4BC51A29462B7733E6E47D98F6FF43BDBBEF3747A12DA88ECD,CLAIM GRAMMAR IS MOVEMENT CONTROL
CAPABILITY_SOURCE,CUSTODY_SOURCE,ABSOLUTE,C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LOOSE_DOCS_20260531_033722\HELPER CAPABILITY SYSTEM_V2.3.txt,CE621086B8E570050C738185FB33CDCAFC3549BB863093D025CE72AD0FB7F2C1,V2.3 is candidate support
CLAIM_POINTER,REPO_FILE,REPO,BRAIN_LEARNING/CLAIM_ENGINE_V2_2_CANDIDATE_POINTER_20260531.md,,CANDIDATE SUPPORT
CAPABILITY_POINTER,REPO_FILE,REPO,BRAIN_LEARNING/HELPER_CAPABILITY_SYSTEM_V2_3_CANDIDATE_POINTER_20260531.md,,CANDIDATE SUPPORT
BRIDGE_SPEC,REPO_FILE,REPO,HOUSE_WORK/WORK_SHED/SORTING_BENCH/CLAIM_CAPABILITY_BRIDGE_HARNESS_PACK_20260531/CLAIM_CAPABILITY_BRIDGE_HARNESS_V1_20260531.md,,Claim + Capability Bridge Harness V1
BRIDGE_FIXTURES,REPO_FILE,REPO,HOUSE_WORK/WORK_SHED/SORTING_BENCH/CLAIM_CAPABILITY_BRIDGE_HARNESS_PACK_20260531/CLAIM_CAPABILITY_FIXTURES_V1_20260531.csv,,CLM-001
BRIDGE_COVERAGE,REPO_FILE,REPO,HOUSE_WORK/WORK_SHED/SORTING_BENCH/CLAIM_CAPABILITY_BRIDGE_HARNESS_PACK_20260531/CLAIM_CAPABILITY_COVERAGE_MATRIX_V1_20260531.csv,,claim force
LIVE_REPLAY_SPEC,REPO_FILE,REPO,HOUSE_WORK/WORK_SHED/SORTING_BENCH/CLAIM_CAPABILITY_LIVE_REPLAY_PACK_20260531/CLAIM_CAPABILITY_LIVE_REPLAY_V1_20260531.md,,Claim + Capability Live Replay V1
LIVE_REPLAY_CASES,REPO_FILE,REPO,HOUSE_WORK/WORK_SHED/SORTING_BENCH/CLAIM_CAPABILITY_LIVE_REPLAY_PACK_20260531/CLAIM_CAPABILITY_LIVE_REPLAY_CASES_V1_20260531.csv,,LRP-001
BRIDGE_REPORT,LOCAL_REPORT,ABSOLUTE,C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\CLAIM_CAPABILITY_BRIDGE_HARNESS_REPORT_20260531_040120.md,3B2CE326BD4D57A4E18365CAA15AADB5C0C83CA48633BD73796C1B643819A2E3,PASS
LIVE_REPLAY_REPORT,LOCAL_REPORT,ABSOLUTE,C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\CLAIM_CAPABILITY_LIVE_REPLAY_REPORT_20260531_040120.md,15BB35CE8F086FD70D442CA7D81231B948BAC2DAB5114E5019462DA419BD0C25,PASS
