"Severity","Path","Species","Field","FailureFamily","SuggestedStitch","Message"
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/BOUNDED_HELPER_CONTEXT_AND_LOCAL_MEANING_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/BOUNDED_HELPER_CONTEXT_AND_LOCAL_MEANING_RULE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/CHAT_HANDOFF_CHECKPOINT_AND_ROPE_CARRY_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/DESKTOP_IS_NOT_A_PARKING_LANE_HELPER_RULE_20260520.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HANDOFF_ASSISTANT_SAFE_SAVE_METHOD_RULE_20260520.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HASH_KEY_FRONT_GATE_HELPER_PACKET_ROUTER_RULE_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_AUTHORITY_TICKET_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_AUTHORITY_TICKET_RULE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_CONTEXT_HANDOFF_BALANCE_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_CHECKPOINT_CLOSEOUT_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
