"Role"	"RelPath"	"Bytes"	"Ext"	"LastWriteTime"
"active_control"	"ACTIVE_ANCHOR.txt"	"860"	".txt"	"2026-05-22T05:27:52"
"active_control"	"ACTIVE_GUIDES/CLEAN_SEED_ALIGNMENT_CHECK.txt"	"258768"	".txt"	"2026-05-17T22:25:02"
"active_control"	"ACTIVE_GUIDES/CLEAN_SEED_WRAP_GUIDE.txt"	"240130"	".txt"	"2026-05-17T22:25:02"
"active_control"	"ACTIVE_GUIDES/README_START_HERE.txt"	"75873"	".txt"	"2026-05-16T23:39:54"
"active_control"	"AGENTS.md"	"3747"	".md"	"2026-05-17T22:16:59"
"active_control"	"CLEAN_SEED_ALIGNMENT_CHECK.txt"	"584"	".txt"	"2026-05-17T18:30:36"
"active_control"	"CLEAN_SEED_WRAP_GUIDE.txt"	"574"	".txt"	"2026-05-17T18:30:36"
"active_control"	"CURRENT_TRUTH_INDEX.txt"	"10242"	".txt"	"2026-05-18T04:34:55"
"active_control"	"PUBLIC_HOUSE_MAP.txt"	"5075"	".txt"	"2026-05-23T00:14:32"
"active_control"	"README_START_HERE.txt"	"566"	".txt"	"2026-05-17T18:30:36"
"active_control"	"README.md"	"3227"	".md"	"2026-05-18T05:56:04"
"mule_handoff_review"	"BRAIN_LEARNING/COMPOSE_REVIEW_REFLECT_CAPTURE_RULE_20260520.md"	"3211"	".md"	"2026-05-20T03:05:54"
"mule_handoff_review"	"BRAIN_LEARNING/GUEST_BOUNDARY_GATE_SET_THREE_SPIN_REVIEW_RULE_20260523.md"	"6707"	".md"	"2026-05-23T02:54:51"
"mule_handoff_review"	"BRAIN_LEARNING/HANDOFF_ASSISTANT_SAFE_SAVE_METHOD_RULE_20260520.md"	"2929"	".md"	"2026-05-20T04:35:08"
"mule_handoff_review"	"BRAIN_LEARNING/LONG_CODE_DRAFT_REVIEW_SEND_GATE_RULE_20260520.md"	"2583"	".md"	"2026-05-20T02:47:17"
"mule_handoff_review"	"BRAIN_LEARNING/MULE_123_WORKING_DOORWAY_AND_SOURCE_ONLY_RULE_20260521.md"	"955"	".md"	"2026-05-21T04:58:35"
"mule_handoff_review"	"BRAIN_LEARNING/MULE_FILING_CABINET_DEEP_HANDOFF_METHOD_RULE_20260522.md"	"1838"	".md"	"2026-05-22T04:53:33"
"mule_handoff_review"	"BRAIN_LEARNING/MULE_RETURN_FINALIZATION_GATE_RULE_20260519.md"	"1629"	".md"	"2026-05-19T20:23:16"
"mule_handoff_review"	"BRAIN_LEARNING/MULE_SHORT_KICKOFF_AND_START_CARD_RULE_20260520.md"	"3325"	".md"	"2026-05-19T23:25:23"
"mule_handoff_review"	"BRAIN_LEARNING/MULE_WORKER_NOT_SUPERVISOR_HOUSE_WALK_FIRST_RULE_20260519.md"	"2245"	".md"	"2026-05-19T20:39:34"
"mule_handoff_review"	"CleanSeedsBuild/NEOCITIES_PUBLIC_SAFE_PREVIEW_20260512_224927/assets/index-art.png"	"421607"	".png"	"2026-05-12T22:49:29"
"mule_handoff_review"	"CleanSeedsBuild/NEOCITIES_PUBLIC_SAFE_PREVIEW_20260512_224927/PUBLIC_SAFE_PREVIEW_REPORT.txt"	"528"	".txt"	"2026-05-12T22:49:30"
