"object","classification","lane","decision","reason","privacy","authority","expected_home","proof"
"C:\Users\13527\Desktop\GPT_Prompts","BLOCKED","MISSING_EXPECTED_SURFACE","BLOCK","Record missing/acceptable state and map actual replacement if any","LOCAL_ONLY","MULE_RECORD_ONLY","C:\Users\13527\Desktop\GPT_Prompts","Test-Path false"
"C:\Users\13527\Desktop\GPT_Prompts\CURRENT","BLOCKED","MISSING_EXPECTED_SURFACE","BLOCK","Record missing/acceptable state and map actual replacement if any","LOCAL_ONLY","MULE_RECORD_ONLY","C:\Users\13527\Desktop\GPT_Prompts\CURRENT","Test-Path false"
"C:\Users\13527\Desktop\GPT_Prompts\READY_TO_DROP_IN_CHAT","BLOCKED","MISSING_EXPECTED_SURFACE","BLOCK","Record missing/acceptable state and map actual replacement if any","LOCAL_ONLY","MULE_RECORD_ONLY","C:\Users\13527\Desktop\GPT_Prompts\READY_TO_DROP_IN_CHAT","Test-Path false"
"C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\CURRENT_NON_ACTIVE_RECURSIVE_CLEANOUTS","BLOCKED","MISSING_EXPECTED_SURFACE","BLOCK","Record missing/acceptable state and map actual replacement if any","LOCAL_ONLY","MULE_RECORD_ONLY","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\CURRENT_NON_ACTIVE_RECURSIVE_CLEANOUTS","Test-Path false"
"C:\Users\13527\Desktop\123","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\COMMAND_CENTER","UNKNOWN","COMMAND_CENTER","PARK","VERIFY_HOME_AND_RETURN_LINK","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\GPT_Prompts","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY","CUSTODY","CUSTODY","ARCHIVE","VERIFY_HOME_AND_RETURN_LINK","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_LOCAL_CUSTODY_ALLOWED","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\LINKED_PAIRS","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MAIL_ROOM","UNKNOWN","MAIL_ROOM","PARK","VERIFY_HOME_AND_RETURN_LINK","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MEDIA_INTAKE","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MULE_LOCAL_ONLY","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MULE_OUTBOX","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MULE_PACKETS","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MULE_WORKSHOP","SOURCE","MULE_WORKSHOP","PARK","VERIFY_HOME_AND_RETURN_LINK","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\PACKAGE_INTAKE","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\PORCH_WATCHER","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\RESEARCH_PACKETS","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\REVIEW_PACKETS","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\RULE_INTAKE","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\SOURCE_TRANSFER","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\TOOL_PACKS","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
