"Name","Kind","Classification","SourcePath","DestinationPath","Action","SourceSha256","DestinationSha256","Status","ReturnTrigger","Notes"
"APPLY_ROOT_RESIDUE_CLEANUP_AND_INJECT_GOOD_20260604.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\APPLY_ROOT_RESIDUE_CLEANUP_AND_INJECT_GOOD_20260604.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\USED_RUNNERS\ROOT_CLEANUP_PHASE2_20260603_234817\APPLY_ROOT_RESIDUE_CLEANUP_AND_INJECT_GOOD_20260604.ps1","MOVED_OUT_OF_ROOT","BDA3B4872C07444A48CDFBEB0B9A79243B76D04FE11987C148E3C653765F175C","BDA3B4872C07444A48CDFBEB0B9A79243B76D04FE11987C148E3C653765F175C","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_V1.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_V1.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_V1.ps1","MOVED_OUT_OF_ROOT","6843E9CC03A1E5DF6B76CF0CF875F6FCA9841D9238B16973B08624B127C3310B","6843E9CC03A1E5DF6B76CF0CF875F6FCA9841D9238B16973B08624B127C3310B","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1_1.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1_1.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1_1.ps1","MOVED_OUT_OF_ROOT","BE738BA461096A977655E543A54264455D7FC61A9C2DD638901FD1C6613AA8B9","BE738BA461096A977655E543A54264455D7FC61A9C2DD638901FD1C6613AA8B9","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1_2.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1_2.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1_2.ps1","MOVED_OUT_OF_ROOT","D91A48E478A90937D96B326DC730AF41ABBC6F31B1D388B103AFC9976A735130","D91A48E478A90937D96B326DC730AF41ABBC6F31B1D388B103AFC9976A735130","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_DISPOSABLE_FIXTURE_DESIGN_AND_RUNNER_INVENTORY_V1.ps1","MOVED_OUT_OF_ROOT","6C69EC95FFFA7A34994A7F36EF0FB5FF53A7B6015C0E7D7E796C9C799DD8FEB8","6C69EC95FFFA7A34994A7F36EF0FB5FF53A7B6015C0E7D7E796C9C799DD8FEB8","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1_2.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1_2.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1_2.ps1","MOVED_OUT_OF_ROOT","BEA1F57D6C9F12D1FB4E6F3631E23FDE80E41318FF962522716C14438EA7A125","BEA1F57D6C9F12D1FB4E6F3631E23FDE80E41318FF962522716C14438EA7A125","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1_3.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1_3.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1_3.ps1","MOVED_OUT_OF_ROOT","E9274DA572F5C752D0385CA3DB942D9F86AF2466B492904BAE8C88EF396245AE","E9274DA572F5C752D0385CA3DB942D9F86AF2466B492904BAE8C88EF396245AE","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_GIT_READ_ONLY_SURFACE_ADJUDICATION_V1.ps1","MOVED_OUT_OF_ROOT","90F31A7AD40ED24C79DFA17AC4D662C6BDE1514309DB17A9B6489DC85BB8DD16","90F31A7AD40ED24C79DFA17AC4D662C6BDE1514309DB17A9B6489DC85BB8DD16","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_STATIC_CODE_SHAPE_FIXTURE_PACKET_V1_2.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_STATIC_CODE_SHAPE_FIXTURE_PACKET_V1_2.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_STATIC_CODE_SHAPE_FIXTURE_PACKET_V1_2.ps1","MOVED_OUT_OF_ROOT","166E0F1B437C273C5206A7513B8CC4BAD9FFE6B8735EBAB3BD0E4E7A59DDA9B6","166E0F1B437C273C5206A7513B8CC4BAD9FFE6B8735EBAB3BD0E4E7A59DDA9B6","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
"WRITE_ROW_001_UNKNOWN_AUTHORITY_ROWS_DISPOSITION_V1.ps1","FILE","WRONG_LANE_SCRIPT_OR_RUNNER","C:\Users\13527\Desktop\123\WRITE_ROW_001_UNKNOWN_AUTHORITY_ROWS_DISPOSITION_V1.ps1","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROW_001_LEGACY_WRITERS_20260603_234817\WRITE_ROW_001_UNKNOWN_AUTHORITY_ROWS_DISPOSITION_V1.ps1","MOVED_OUT_OF_ROOT","B6EFF88BE63023C2A5228558C9DAD4A2B3B75FA1B706970C49902D272D9BCD1D","B6EFF88BE63023C2A5228558C9DAD4A2B3B75FA1B706970C49902D272D9BCD1D","ROUTED_OR_PARKED","Return only when Row 001 writer/runner provenance is reviewed or a Code Gate/harness task explicitly needs it.","Loose root script moved out of root; not executed."
