"OriginalName","Class","FinalCustodyGroup","FinalPath","SHA256","HashMatch","AppliedNow"
"mulenotes.txt","raw source","source_notes","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\CONSUMED_BY_REPO_SAVE\mulenotes.txt","6396285B91ED5B6FEA1558806866104EB3DF80F3912B8DB966F55B66D1027891","True","already applied to candidate governance package"
"nextmove.txt","raw source","source_notes","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\CONSUMED_BY_REPO_SAVE\nextmove.txt","1463F0D6D17EF3531412CB29A95AB16CF6CE6C5988771E82B6D08E888523FB1D","True","already applied to whole-house intake/project-flow packages"
"RAW_HELPER_STRESS_BENCH_DEEP_ADDENDUMS_COMPATIBILITY_GATES_AND_SELFTESTS_20260603.txt","raw source","source_notes","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\CONSUMED_BY_REPO_SAVE\RAW_HELPER_STRESS_BENCH_DEEP_ADDENDUMS_COMPATIBILITY_GATES_AND_SELFTESTS_20260603.txt","6B80C7043C9640101BB89FAEEC3EFD56DA84EA7EDA86B925801D4775EB36B92E","True","applied to helper stress-bench addendum package"
"READ_ONLY_INSPECT_ACTIVE_TASK_V0_COLOR_V1_1.ps1","temporary helper","read_only_inspect","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\READ_ONLY_INSPECT\READ_ONLY_INSPECT_ACTIVE_TASK_V0_COLOR_V1_1.ps1","C859EF0D3626C2562EF0EEF4F0D76348BDA01DC0F70D42E784CB40AE34FA5DAF","True","parked for read-only inventory"
"READ_ONLY_INSPECT_ACTIVE_TASK_V0_COLOR_V1.ps1","temporary helper","read_only_inspect","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\READ_ONLY_INSPECT\READ_ONLY_INSPECT_ACTIVE_TASK_V0_COLOR_V1.ps1","2C4F089D2A102FA6346BFA752CD80C0D7BF6353944F9557BCDE6B3A5486A796D","True","parked for read-only inventory"
"READ_ONLY_INSPECT_ACTIVE_TASK_V0.ps1","temporary helper","read_only_inspect","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\READ_ONLY_INSPECT\READ_ONLY_INSPECT_ACTIVE_TASK_V0.ps1","343B84EC0F81A813829D4FFC059C7563AC5B0128021BB26B6D2DCF0E753F7B84","True","parked for read-only inventory"
"READ_THIS_MULE.txt","user correction source","source_notes","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\CONSUMED_BY_REPO_SAVE\READ_THIS_MULE.txt","590491204313166D90D91089785721B9ACD1B81A87553A37E5225EDFF6C79820","True","applied to root front-porch cleanup support rule"
"RUN_ACTIVE_TASK_POINTER_ROUTE_DECISION_CARD.ps1","temporary helper","other_routing_and_decision","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\OTHER_ROUTING_AND_DECISION\RUN_ACTIVE_TASK_POINTER_ROUTE_DECISION_CARD.ps1","7FB120917437C1AF54F2B6DE86626E74B4D737EE0B4E504BA8610FB9D3C80368","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_STACK_INSPECTION_BEFORE_V0_6.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_STACK_INSPECTION_BEFORE_V0_6.ps1","BE98B1D39598CA69948AAF5E22CCE5C15BFD97A090D3DD40DC517775D963DE69","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_STACK_WARNING_REVIEW_BEFORE_V0_6.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_STACK_WARNING_REVIEW_BEFORE_V0_6.ps1","F491A490FA368723F962161F5431F0A493266A49F535F0A5240ABDCDD2584534","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_1_DESIGN_SAVE_GATE.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_1_DESIGN_SAVE_GATE.ps1","2B21B0AFBFA8FFA1CEDE5BDFA5575904CA24BE1EE8B13E83089A7E21DB4C5947","True","parked for read-only inventory"
