"Name","Kind","Classification","SourcePath","DestinationPath","Action","SourceSha256","DestinationSha256","Status","Notes"
"REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_V1_1.md","FILE","WRONG_LANE_RULE_CANDIDATE","C:\Users\13527\Desktop\123\REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_V1_1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_20260604.md","MOVED_TO_PROJECT_OR_CUSTODY_LANE","4C951E17813ACFC5D9EF8F485A3B4648721959F7CC31AE915D3D14D1F03BC8F7","4C951E17813ACFC5D9EF8F485A3B4648721959F7CC31AE915D3D14D1F03BC8F7","ROUTED_FROM_ROOT","Parent repeated-correction rule candidate injected into BRAIN_LEARNING."
"MULE_ROOT_NO_LOOSE_FILES_RULE_V1.md","FILE","WRONG_LANE_RULE_CANDIDATE","C:\Users\13527\Desktop\123\MULE_ROOT_NO_LOOSE_FILES_RULE_V1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\MULE_ROOT_NO_LOOSE_FILES_RULE_20260604.md","NOOP_MISSING","","","NOT_PRESENT","Source not present at root; no move needed. Child root-no-loose-files rule candidate injected into BRAIN_LEARNING."
"ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","FILE","WRONG_LANE_FIXTURE","C:\Users\13527\Desktop\123\ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","MOVED_TO_PROJECT_OR_CUSTODY_LANE","6B52947701E4E5C94C17C7C77226E4F928D55B7E9A1FE637C83B6AA9B838F303","6B52947701E4E5C94C17C7C77226E4F928D55B7E9A1FE637C83B6AA9B838F303","ROUTED_FROM_ROOT","Row 001 design injected into Helper Stress Bench Row 001 lane."
"SHA256_MANIFEST_ROW_001_DISPOSABLE_FIXTURE_V1.csv","FILE","WRONG_LANE_MANIFEST","C:\Users\13527\Desktop\123\SHA256_MANIFEST_ROW_001_DISPOSABLE_FIXTURE_V1.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\SHA256_MANIFEST_ROW_001_DISPOSABLE_FIXTURE_V1.csv","MOVED_TO_PROJECT_OR_CUSTODY_LANE","7E8B9E688BF9D4C34B9AF74ADE79C23199893AA02BEECC9597774AFB84EFED38","7E8B9E688BF9D4C34B9AF74ADE79C23199893AA02BEECC9597774AFB84EFED38","ROUTED_FROM_ROOT","Row 001 manifest injected into Helper Stress Bench Row 001 lane."
"ROW_001_DISPOSABLE_FIXTURE_V1","FOLDER","WRONG_LANE_FIXTURE_FOLDER","C:\Users\13527\Desktop\123\ROW_001_DISPOSABLE_FIXTURE_V1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_DISPOSABLE_FIXTURE_V1","MOVED_TO_PROJECT_OR_CUSTODY_LANE","","","ROUTED_FROM_ROOT","Row 001 inert fixture folder injected into Helper Stress Bench Row 001 lane."
"MULE_HANDOFF_ROW_001_RULE_CAPTURE_20260604","FOLDER","WRONG_LANE_HANDOFF_PACKET","C:\Users\13527\Desktop\123\MULE_HANDOFF_ROW_001_RULE_CAPTURE_20260604","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_HANDOFF_ROW_001_RULE_CAPTURE_20260604","MOVED_TO_PROJECT_OR_CUSTODY_LANE","","","ROUTED_FROM_ROOT","Handoff packet moved to local custody, not live root."
"MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604","FOLDER","WRONG_LANE_CORRECTION_PACKET","C:\Users\13527\Desktop\123\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604","MOVED_TO_PROJECT_OR_CUSTODY_LANE","","","ROUTED_FROM_ROOT","Correction packet moved to local custody, not live root."
"MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604","FOLDER","WRONG_LANE_CORRECTION_PACKET","C:\Users\13527\Desktop\123\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604","NOOP_MISSING","","","NOT_PRESENT","Source not present at root; no move needed. Older correction packet moved to local custody, not live root."
"MULE_CORRECTION_V2_1_FLAT_NO_NESTED_ZIPS_20260604","FOLDER","WRONG_LANE_CORRECTION_PACKET","C:\Users\13527\Desktop\123\MULE_CORRECTION_V2_1_FLAT_NO_NESTED_ZIPS_20260604","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_1_FLAT_NO_NESTED_ZIPS_20260604","NOOP_MISSING","","","NOT_PRESENT","Source not present at root; no move needed. Flat correction packet moved to local custody, not live root."
"MULE_HANDOFF_ACTIVE_MESS_RULES_ROW001_PACKAGING_20260604.md","FILE","WRONG_LANE_HANDOFF_PACKET","C:\Users\13527\Desktop\123\MULE_HANDOFF_ACTIVE_MESS_RULES_ROW001_PACKAGING_20260604.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_HANDOFF_ACTIVE_MESS_RULES_ROW001_PACKAGING_20260604.md","MOVED_TO_PROJECT_OR_CUSTODY_LANE","4F7D4214E288BB26A002BCABB3E8580BC40257C915278464145BAF4833338882","4F7D4214E288BB26A002BCABB3E8580BC40257C915278464145BAF4833338882","ROUTED_FROM_ROOT","Active handoff moved to local custody after processing."
