"Path","Kind","Purpose","SourceAnchor","Boundary","ShouldTrack"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/ONE_PAGE_REVIEW_MAP_20260603.md","review map","Fast decision map and verdict","nextmove.txt:41-14537","not doctrine; not implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/SOURCE_LINE_REFERENCE_INDEX_20260603.md","line index","Compact source anchors without raw source dump","nextmove.txt heading scan","no raw source; no authority claim","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/ADDENDUM_INDEX_20260603.md","addendum index","Preserved and new addendum list","nextmove.txt:14023-14537","not doctrine; not active","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/CHANGE_LEDGER_20260603.md","change ledger","Replacement and no-deletion ledger","nextmove.txt:14279-14305","no cleanup; no protected edits","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_ADDENDUM_MULE_REPORT_20260603.md","review report","Source inventory, chunk review, addendums, assumption ledger","nextmove.txt:41-14537","review only; not implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/OPEN_QUESTIONS_20260603.md","open questions","Parked decisions and return triggers","nextmove.txt:13986-14021","questions do not authorize action","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_20260603/PROOF_CHECKLIST_20260603.md","proof checklist","Review, mutation safety, and future fixture checks","nextmove.txt:12691-13000","proof only; no code","yes"
"HOUSE_WORK/TODO/READ_ONLY_SINGLE_FILE_INTAKE_WASH_CARD_V0_NEXT_BUILD_TODO_20260603.md","TODO","Next legal build lane after explicit authorization","nextmove.txt:12783-13990","not implemented; not active","yes"
"PROOF_HISTORY/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_ADDENDUM_MULE_MANIFEST_20260603.csv","manifest","Exact packet file manifest","mission source","manifest only","yes"
"PROOF_HISTORY/WHOLE_HOUSE_INTAKE_WASH_SPEC_REVIEW_ADDENDUM_MULE_RECEIPT_20260603.txt","receipt","Mission receipt and boundary record","mission source","receipt only","yes"
