"Path","Action","Purpose","DurableLane","Boundary","ShouldTrack"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PARKED_SOURCE_LANES/PARKED_SOURCE_LANE_FAIRLIGHT_CMI_DIGITAL_INSTRUMENT_20260603.md","create","Park Fairlight CMI source lane for future source-first study","yes","parked only; not active; no implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/PARKED_SOURCE_LANES/PARKED_SOURCE_LANE_WOLFRAM_CELLULAR_AUTOMATA_RULE30_BITSTRING_TRIANGLE_20260603.md","create","Park Wolfram cellular automata / Rule 30 source lane for future source-first study","yes","parked only; not doctrine; no implementation","yes"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/WHOLE_LIST_ORDERED_CLOSEOUT_20260603/WHOLE_LIST_ORDERED_CLOSEOUT_STARTING_POINT_REVIEW_20260603.md","create","Ordered closeout, parked lane status, and next starting point review","yes","review only; no implementation","yes"
"PROOF_HISTORY/WHOLE_LIST_ORDERED_CLOSEOUT_PARKED_LANES_STARTING_POINT_MANIFEST_20260603.csv","create","Manifest-first exact save list","yes","manifest only","yes"
"PROOF_HISTORY/WHOLE_LIST_ORDERED_CLOSEOUT_PARKED_LANES_STARTING_POINT_RECEIPT_20260603.txt","create","Final sentinel receipt for this bounded support save","yes","receipt only","yes"
"BRAIN_LEARNING/HELPER_BLOCKER_GRAMMAR_RECOVERY_ROUTER_RULE_20260603.md","reference-no-write","Already saved helper blocker grammar rule","yes","existing support rule; not doctrine; no rewrite","already-tracked"
"HOUSE_WORK/IDEA_CONCEPT_COLLECTION_ROOM/ROOT_SWEEP_20260603/HELPER_BLOCKER_GRAMMAR_RECOVERY_ROUTER_AFTER_ACTION_REVIEW_20260603.md","reference-no-write","Already saved helper blocker after-action review in non-shed lane","yes","existing durable summary; no WORK_SHED copy","already-tracked"
"HOUSE_WORK/CHAT_COCKPIT/HELPER_BLOCKER_ROUTER_SUIT_CARD_20260603.md","reference-no-write","Already saved helper blocker router cockpit card","yes","existing support card; not active tool","already-tracked"
"HOUSE_WORK/TODO/HELPER_SAVE_PREFLIGHT_ROUTER_TOOL_TODO_20260603.md","reference-no-write","Already saved helper save preflight router TODO","yes","TODO only; no tool activation","already-tracked"
"HOUSE_WORK/TODO/MANIFEST_FIRST_EXACT_SAVE_TOOL_TODO_20260603.md","reference-no-write","Already saved manifest-first exact save TODO","yes","TODO only; no tool activation","already-tracked"
"BRAIN_LEARNING/HELPER_FINAL_SENTINEL_INTERRUPT_POISON_RULE_20260603.md","reference-no-write","Already saved final sentinel interrupt poison rule","yes","support rule; not doctrine","already-tracked"
"HOUSE_WORK/CHAT_COCKPIT/HELPER_FINAL_SENTINEL_INTERRUPT_POISON_SUIT_CARD_20260603.md","reference-no-write","Already saved final sentinel suit card","yes","support card; not active tool","already-tracked"
"PROOF_HISTORY/HELPER_FINAL_SENTINEL_CONTROL_REPAIR_PACKAGE_WRITE_RECEIPT_20260603.txt","reference-no-write","Already saved final sentinel repair receipt","yes","receipt only","already-tracked"
