CHAT DROP MANIFEST 20260510
Chat-drop folder: C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510
Created: 2026-05-10 17:03:25 -04:00
Recovered quarantine files promoted: NO

README | present=YES | copied=YES | hash_match=YES | size=74249 | sha256=EFF0CE517F5647016E04715761F505DBB3D5B0023E51256EBB8750AFABDDEFF1 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\ACTIVE_GUIDES\README_START_HERE.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\README_START_HERE.txt
WRAP | present=YES | copied=YES | hash_match=YES | size=204889 | sha256=B14955F9BBBB52DBFC4E3786FF7CB2FCC0ECDB114A275DB06A591966B9FEF6FE | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\CLEAN_SEED_WRAP_GUIDE.txt
ALIGNMENT | present=YES | copied=YES | hash_match=YES | size=238066 | sha256=EDE9C65D7367D6EE507E31B6532760AE945A3B8CAB7E9D5E08FAA68CCFBD70AA | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\CLEAN_SEED_ALIGNMENT_CHECK.txt
CURRENT_TRUTH_INDEX | present=YES | copied=YES | hash_match=YES | size=3870 | sha256=6CDD8E83AE95AE76F4658188452B799633B8CE76B4AEB93346E2E1C3FC715408 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\CURRENT_TRUTH_INDEX.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\CURRENT_TRUTH_INDEX.txt
AGENTS | present=YES | copied=YES | hash_match=YES | size=1267 | sha256=1F5565DDD2A55C035FF0A010480C51FE5E6E74BB2E27985E2B1BBB1004F17C49 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\AGENTS.md | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\AGENTS.md
Placement map | present=YES | copied=YES | hash_match=YES | size=2658 | sha256=AAB331890FDD540B83362338C87C7011EECE8F72A660A364D118B19DA16E2F27 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\CURRENT_IDEA_PLACEMENT_MAP_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\CURRENT_IDEA_PLACEMENT_MAP_20260510.txt
Misc unplaced pile | present=YES | copied=YES | hash_match=YES | size=1697 | sha256=24509F874A99867C897006AB2A4522813812BA4D13FA176C8A35F02D7B477AF3 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\MISC_UNPLACED_IDEA_PILE_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\MISC_UNPLACED_IDEA_PILE_20260510.txt
Active guide update receipt | present=YES | copied=YES | hash_match=YES | size=1587 | sha256=4CFD879A21DCC4652B1B316924577992CF3E679BF8A5A5CCA2F1A8F2F3193090 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECEIPT_CURRENT_IDEA_PLACEMENT_ACTIVE_GUIDE_UPDATE_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\RECEIPT_CURRENT_IDEA_PLACEMENT_ACTIVE_GUIDE_UPDATE_20260510.txt
Sorting rules file | present=YES | copied=YES | hash_match=YES | size=4504 | sha256=FB67AF559641A22D5000939D3A3AB8397EF0E773BDEDEC44465516D9AB65A2B3 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\SORTING_RULES_FAMILY_TREE_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\SORTING_RULES_FAMILY_TREE_20260510.txt
Sorting rules receipt | present=YES | copied=YES | hash_match=YES | size=672 | sha256=217DE28C556F606FE48C3C3C7721BCA6CFE8A6A93DBCF13DBD2172C3E70A0648 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECEIPT_SORTING_RULES_FAMILY_TREE_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\RECEIPT_SORTING_RULES_FAMILY_TREE_20260510.txt
Fixing-language rule | present=YES | copied=YES | hash_match=YES | size=2868 | sha256=F8438B4E914A47E8AA19415B710B0369187A49EAB674AD776B4C3A0D4D2415E6 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\FIXING_LANGUAGE_AND_OLD_REPAIR_JARGON_RULE_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\FIXING_LANGUAGE_AND_OLD_REPAIR_JARGON_RULE_20260510.txt
Fixing-language receipt | present=YES | copied=YES | hash_match=YES | size=723 | sha256=5D9B6400C9F7C558DDC6166E8C6A12AAB62D3288E93BE494B996B10757C17F99 | source=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECEIPT_FIXING_LANGUAGE_AND_OLD_REPAIR_JARGON_RULE_20260510.txt | destination=C:\Users\13527\Desktop\Clean_Milk_CHAT_DROP_CURRENT_STATE_20260510\RECEIPT_FIXING_LANGUAGE_AND_OLD_REPAIR_JARGON_RULE_20260510.txt
