"Source"	"RelativePath"	"SourcePath"	"KeptRelativePath"	"KeptSource"	"SHA256"	"Length"
"Jxhnny_Kleen_C3dz"	"PROOF_HISTORY\DESKTOP_DROP_FOLDER_INTAKE_ARCHIVE_20260511\Clean_Milk_FRESH_ASSESSMENT_DROP_20260511_004711\README_START_HERE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\PROOF_HISTORY\DESKTOP_DROP_FOLDER_INTAKE_ARCHIVE_20260511\Clean_Milk_FRESH_ASSESSMENT_DROP_20260511_004711\README_START_HERE.txt"	"ACTIVE_GUIDES\README_START_HERE.txt"	"Jxhnny_Kleen_C3dz"	"1797EDCADD1ABE634E8DB45ACF5348CEBD2A275713E8E4F2092C2023493E8EBA"	"75873"
"123_ROOT"	"SOURCE_TRANSFER\MD_INCOMING\CLEAN_SEED_SORT_BEFORE_JUDGMENT_RULE_20260518.md"	"C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\CLEAN_SEED_SORT_BEFORE_JUDGMENT_RULE_20260518.md"	"BRAIN_LEARNING\CLEAN_SEED_SORT_BEFORE_JUDGMENT_RULE_20260518.md"	"Jxhnny_Kleen_C3dz"	"A072D9E247F530346B48B1F3DCBB278DDA439295A99EDF03CEE034373C99CF15"	"2272"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\backups\STAGE_4_PASS_BACKUP_20260508_063939\evidence\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\backups\STAGE_4_PASS_BACKUP_20260508_063939\evidence\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"DD325BD6B7E737083640F09CD650F88A2670E383466BDE0AC2105CC39D0A715D"	"1307"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\evidence\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\evidence\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"DD325BD6B7E737083640F09CD650F88A2670E383466BDE0AC2105CC39D0A715D"	"1307"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\backups\STAGE_4_PASS_BACKUP_20260508_063939\evidence\PRACTICAL_002_PROJECT_EVIDENCE_STACK_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\backups\STAGE_4_PASS_BACKUP_20260508_063939\evidence\PRACTICAL_002_PROJECT_EVIDENCE_STACK_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\PRACTICAL_002_PROJECT_EVIDENCE_STACK_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"2366E20BA15CD6E185C8FACAC9EC31FFE0628A37B4FEEADDB890D09830A38411"	"836"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\evidence\PRACTICAL_002_PROJECT_EVIDENCE_STACK_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\evidence\PRACTICAL_002_PROJECT_EVIDENCE_STACK_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\PRACTICAL_002_PROJECT_EVIDENCE_STACK_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"2366E20BA15CD6E185C8FACAC9EC31FFE0628A37B4FEEADDB890D09830A38411"	"836"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\backups\STAGE_1_PASS_BACKUP_20260508_062250\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\backups\STAGE_1_PASS_BACKUP_20260508_062250\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"3B7612A9C45EE0296ACCF0D74C585CFA277DF63C14F8F56D2B5020A1EBEED0CC"	"941"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\backups\STAGE_2_PASS_BACKUP_20260508_063427\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\backups\STAGE_2_PASS_BACKUP_20260508_063427\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"3B7612A9C45EE0296ACCF0D74C585CFA277DF63C14F8F56D2B5020A1EBEED0CC"	"941"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\backups\STAGE_3_PASS_BACKUP_20260508_063649\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\backups\STAGE_3_PASS_BACKUP_20260508_063649\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"3B7612A9C45EE0296ACCF0D74C585CFA277DF63C14F8F56D2B5020A1EBEED0CC"	"941"
"Jxhnny_Kleen_C3dz"	"CleanMilkChecker\backups\STAGE_4_PASS_BACKUP_20260508_063939\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"C:\Users\13527\Desktop\123\Jxhnny_Kleen_C3dz\CleanMilkChecker\backups\STAGE_4_PASS_BACKUP_20260508_063939\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\evidence\STAGE_1_TEST_001_EVIDENCE.txt"	"Jxhnny_Kleen_C3dz"	"3B7612A9C45EE0296ACCF0D74C585CFA277DF63C14F8F56D2B5020A1EBEED0CC"	"941"
